,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
34,0,1,0,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,69.0,log2,11.0,7.0,None,None,None,None,0.9487179487179487,ok,81.89421208505519
35,0,1,0,1,1,1,0,1,kneighborsClassifier,None,ball_tree,None,None,36.0,None,None,None,None,None,None,10.0,None,distance,0.9426129426129426,ok,81.95486804912798
36,0,1,0,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,58.0,log2,13.0,16.0,None,None,None,None,0.9487179487179487,ok,83.01932853413746
37,0,1,0,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,77.0,sqrt,17.0,31.0,None,None,None,None,0.9487179487179487,ok,84.0615691060666
38,0,1,0,1,1,1,0,1,kneighborsClassifier,None,kd_tree,None,None,21.0,None,None,None,None,None,None,7.0,None,uniform,0.938949938949939,ok,84.13360196305439
39,0,1,0,1,0,0,0,1,randomForestClassifier,None,None,None,gini,None,None,98.0,auto,8.0,21.0,None,None,None,None,0.5421245421245421,ok,85.17265043198131
40,1,1,0,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,42.0,log2,14.0,11.0,None,None,None,None,0.9499389499389499,ok,86.26609212812036
41,1,1,0,1,0,0,0,0,kneighborsClassifier,None,auto,None,None,29.0,None,None,None,None,None,None,1.0,None,distance,0.49572649572649574,ok,86.31498808297329
42,0,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,61.0,log2,17.0,7.0,None,None,None,None,0.9474969474969475,ok,87.324016146129
43,1,1,0,0,0,0,0,1,randomForestClassifier,None,None,None,gini,None,None,43.0,log2,11.0,10.0,None,None,None,None,0.5470085470085471,ok,88.20537998899817
44,0,0,0,1,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,12.0,None,None,None,None,None,None,8.0,None,distance,0.9511599511599511,ok,88.26303713698871
45,1,0,0,1,0,1,1,0,kneighborsClassifier,None,ball_tree,None,None,15.0,None,None,None,None,None,None,8.0,None,distance,0.7753357753357754,ok,88.3163967509754
46,1,0,1,0,1,0,1,0,kneighborsClassifier,None,ball_tree,None,None,15.0,None,None,None,None,None,None,4.0,None,distance,0.7045177045177046,ok,88.36829441203736
47,1,0,0,1,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,29.0,None,None,None,None,None,None,10.0,None,distance,0.9487179487179487,ok,88.42739713308401
48,1,0,1,0,0,1,1,0,kneighborsClassifier,None,ball_tree,None,None,3.0,None,None,None,None,None,None,6.0,None,distance,0.7741147741147741,ok,88.48279923014343
49,0,0,0,1,1,0,1,0,kneighborsClassifier,None,auto,None,None,14.0,None,None,None,None,None,None,8.0,None,distance,0.7167277167277167,ok,88.53367604012601
50,0,0,1,1,1,1,1,0,kneighborsClassifier,None,kd_tree,None,None,29.0,None,None,None,None,None,None,3.0,None,distance,0.9426129426129426,ok,88.58638664614409
51,0,0,0,0,0,1,1,0,kneighborsClassifier,None,ball_tree,None,None,9.0,None,None,None,None,None,None,5.0,None,uniform,0.7741147741147741,ok,88.6540904911235
52,0,0,0,1,1,0,1,0,nnClassifier,logistic,None,9,None,None,constant,None,None,None,None,7,None,sgd,None,0.5286935286935287,ok,109.74626373196952
53,1,0,1,0,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,39.0,None,None,None,None,None,None,8.0,None,distance,0.945054945054945,ok,109.80555552011356
54,1,0,0,1,1,1,1,0,nnClassifier,relu,None,31,None,None,constant,None,None,None,None,7,None,adam,None,0.5103785103785103,ok,119.51501826802269
55,0,0,1,1,0,1,1,0,kneighborsClassifier,None,kd_tree,None,None,19.0,None,None,None,None,None,None,9.0,None,distance,0.7851037851037851,ok,119.57038175594062
56,0,0,0,1,1,0,1,0,nnClassifier,relu,None,8,None,None,invscaling,None,None,None,None,8,None,sgd,None,0.5286935286935287,ok,126.77493138797581
