activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,20,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,constant,16,auto,14,22,nnRegressor,2,10,adam,distance,0.5194561135943472,866.204980029026
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,constant,67,auto,15,20,nnRegressor,5,10,adam,distance,0.5501889281415788,866.2050435780548
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,constant,19,auto,17,21,nnRegressor,3,9,adam,distance,0.5284960527220803,866.2051158079412
relu,auto,15,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,66,auto,15,20,nnRegressor,4,10,adam,distance,0.544379441093884,866.2051803870127
relu,auto,16,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,57,auto,17,19,nnRegressor,3,10,adam,distance,0.5589724831262234,866.2052442769054
relu,auto,19,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,43,auto,16,17,nnRegressor,3,10,adam,distance,0.5667182377417421,866.2053082860075
relu,auto,20,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,constant,49,auto,15,22,nnRegressor,2,10,adam,distance,0.5704695456304046,866.2053720050026
relu,auto,15,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,69,auto,14,22,nnRegressor,3,10,adam,distance,0.546246929770307,866.2054365349468
relu,auto,18,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,34,constant,54,auto,18,29,nnRegressor,6,10,adam,distance,0.544379441093884,866.2055006839801
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,58,auto,13,21,nnRegressor,2,10,adam,distance,0.5512123573495284,866.2055643738713
relu,auto,19,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,18,auto,17,23,nnRegressor,3,10,adam,distance,0.5643626092703509,866.2056278630625
