activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,kd_tree,21,entropy,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,20,invscaling,85,auto,20,29,nnClassifier,7,2,adam,distance,0.47985347985347987
logistic,brute,9,entropy,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,33,constant,59,auto,7,30,kneighborsClassifier,2,9,adam,distance,0.5177045177045178
tanh,auto,30,entropy,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,6,constant,47,auto,18,7,nnClassifier,9,7,adam,distance,0.48595848595848595
identity,kd_tree,22,entropy,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,37,adaptive,18,auto,9,7,randomForestClassifier,10,9,lbfgs,uniform,0.8791208791208791
logistic,auto,30,entropy,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,39,adaptive,3,log2,4,19,kneighborsClassifier,5,7,sgd,uniform,0.4713064713064713
identity,brute,14,gini,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,19,invscaling,68,auto,18,33,nnClassifier,10,8,sgd,distance,0.5006105006105006
logistic,brute,28,gini,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,22,adaptive,55,sqrt,20,26,nnClassifier,5,1,lbfgs,uniform,0.4822954822954823
tanh,ball_tree,10,entropy,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,18,constant,69,log2,17,23,randomForestClassifier,8,9,lbfgs,uniform,0.49572649572649574
relu,kd_tree,20,entropy,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,17,adaptive,23,log2,8,12,nnClassifier,8,4,lbfgs,distance,0.4993894993894994
logistic,brute,13,gini,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,7,adaptive,43,auto,13,32,nnClassifier,9,6,sgd,uniform,0.28083028083028083
identity,ball_tree,14,entropy,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,28,invscaling,16,sqrt,18,21,nnClassifier,10,4,lbfgs,uniform,0.49572649572649574
identity,brute,20,entropy,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,19,invscaling,43,log2,6,22,nnClassifier,4,1,lbfgs,uniform,0.5091575091575091
relu,auto,12,gini,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,30,constant,8,auto,11,40,nnClassifier,5,8,sgd,uniform,0.4884004884004884
identity,auto,13,gini,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,27,invscaling,58,auto,17,19,kneighborsClassifier,4,8,sgd,distance,0.49572649572649574
relu,kd_tree,23,entropy,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,30,adaptive,3,auto,8,17,nnClassifier,7,6,lbfgs,distance,0.49694749694749696
logistic,ball_tree,28,entropy,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,13,adaptive,88,auto,15,14,kneighborsClassifier,6,10,sgd,distance,0.5409035409035409
logistic,brute,14,gini,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,28,invscaling,18,auto,3,3,kneighborsClassifier,8,5,lbfgs,distance,0.5775335775335775
logistic,ball_tree,24,entropy,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,13,adaptive,50,auto,4,3,kneighborsClassifier,3,7,sgd,distance,0.4932844932844933
relu,kd_tree,32,entropy,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,7,constant,87,log2,10,10,randomForestClassifier,2,10,sgd,distance,0.5042735042735043
identity,auto,24,entropy,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,0,3,constant,60,log2,17,18,nnClassifier,9,7,lbfgs,distance,0.4981684981684982
logistic,kd_tree,9,entropy,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,9,adaptive,59,sqrt,10,17,kneighborsClassifier,3,10,adam,distance,0.4554334554334554
relu,auto,16,entropy,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,26,invscaling,56,sqrt,16,8,kneighborsClassifier,1,5,sgd,distance,0.47374847374847373
