feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,1,1,1,1,1,1,0,1,0,1,1,0,nnRegressor,logistic,NA,29,NA,nan,constant,nan,NA,nan,nan,3,nan,lbfgs,NA,0.7695741321127134,1111.1219341754913
1,1,1,0,1,1,0,0,0,1,1,0,1,1,nnRegressor,relu,NA,30,NA,nan,constant,nan,NA,nan,nan,8,nan,adam,NA,0.8038995728649084,1125.4418814182281
0,1,0,0,0,1,0,0,0,1,0,0,0,1,nnRegressor,logistic,NA,30,NA,nan,invscaling,nan,NA,nan,nan,2,nan,adam,NA,0.7248566411339159,1139.7290606498718
1,1,1,1,0,1,0,0,0,1,0,0,1,1,nnRegressor,logistic,NA,31,NA,nan,adaptive,nan,NA,nan,nan,2,nan,lbfgs,NA,0.8069329841323205,1146.0560431480408
1,1,0,0,1,0,1,1,0,0,1,1,1,1,nnRegressor,logistic,NA,27,NA,nan,invscaling,nan,NA,nan,nan,7,nan,adam,NA,0.8037410211443152,1162.2127261161804
0,0,0,0,1,0,0,1,1,1,0,0,1,0,nnRegressor,tanh,NA,28,NA,nan,invscaling,nan,NA,nan,nan,5,nan,lbfgs,NA,0.7187993299076455,1169.9994549751282
0,1,1,1,1,0,0,1,1,0,1,1,1,0,nnRegressor,logistic,NA,32,NA,nan,constant,nan,NA,nan,nan,3,nan,adam,NA,0.7682905347117809,1183.9931044578552
1,1,1,0,1,1,0,0,1,1,0,0,1,1,nnRegressor,logistic,NA,29,NA,nan,adaptive,nan,NA,nan,nan,2,nan,sgd,NA,0.7756885982107102,1196.9652290344238
1,1,1,0,0,0,0,0,1,1,1,0,1,0,nnRegressor,relu,NA,8,NA,nan,invscaling,nan,NA,nan,nan,3,nan,lbfgs,NA,0.7854232177846383,1203.1068551540375
1,0,1,1,0,0,0,1,0,0,0,1,0,1,nnRegressor,logistic,NA,8,NA,nan,constant,nan,NA,nan,nan,3,nan,lbfgs,NA,0.7309869697631333,1209.641855955124
1,1,0,1,0,1,1,0,1,1,0,0,1,1,nnRegressor,logistic,NA,9,NA,nan,invscaling,nan,NA,nan,nan,4,nan,lbfgs,NA,0.8104056747142135,1216.4013721942902
1,1,0,0,0,1,1,0,0,1,1,1,1,1,nnRegressor,logistic,NA,30,NA,nan,invscaling,nan,NA,nan,nan,4,nan,adam,NA,0.8089057533230792,1231.2510907649994
1,1,0,1,1,1,1,1,1,0,0,0,1,1,nnRegressor,logistic,NA,26,NA,nan,adaptive,nan,NA,nan,nan,3,nan,lbfgs,NA,0.7856319450141199,1238.055526971817
1,1,0,0,1,0,0,0,1,0,0,0,1,1,nnRegressor,logistic,NA,29,NA,nan,invscaling,nan,NA,nan,nan,6,nan,sgd,NA,0.036058197082665,1251.075433254242
1,0,1,0,1,1,1,0,1,0,0,0,1,0,nnRegressor,tanh,NA,29,NA,nan,constant,nan,NA,nan,nan,2,nan,lbfgs,NA,0.7395570124987421,1259.3781445026398
1,1,0,0,1,0,0,0,0,0,0,0,1,1,nnRegressor,relu,NA,26,NA,nan,constant,nan,NA,nan,nan,10,nan,lbfgs,NA,0.7682210943420531,1265.534544467926
1,0,0,1,0,0,0,1,1,0,1,1,1,0,nnRegressor,tanh,NA,32,NA,nan,adaptive,nan,NA,nan,nan,10,nan,adam,NA,0.7551306131080017,1280.6696372032166
0,1,1,1,1,1,0,1,1,0,1,0,1,0,nnRegressor,logistic,NA,18,NA,nan,invscaling,nan,NA,nan,nan,5,nan,adam,NA,0.7212338092868782,1301.0423069000244
