activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,brute,31,gini,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,29,adaptive,7,log2,6,2,nnClassifier,7,10,lbfgs,uniform,0.5049773755656108
relu,kd_tree,8,entropy,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,12,adaptive,90,log2,10,8,kneighborsClassifier,10,8,adam,uniform,0.8733031674208145
tanh,brute,8,entropy,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,29,constant,23,sqrt,16,30,nnClassifier,10,6,lbfgs,distance,0.4995475113122172
identity,brute,11,entropy,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,27,adaptive,59,auto,6,30,randomForestClassifier,4,10,adam,uniform,0.8280542986425339
relu,ball_tree,24,gini,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,25,invscaling,20,sqrt,5,11,kneighborsClassifier,8,3,sgd,distance,0.8361990950226245
relu,ball_tree,23,gini,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,34,adaptive,10,auto,5,34,randomForestClassifier,6,3,sgd,distance,0.8343891402714932
relu,auto,30,entropy,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,37,constant,51,sqrt,20,11,kneighborsClassifier,2,3,adam,uniform,0.8407239819004525
tanh,kd_tree,28,entropy,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,25,adaptive,84,sqrt,3,26,randomForestClassifier,9,2,adam,distance,0.8778280542986425
logistic,auto,28,gini,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,33,invscaling,87,auto,18,14,nnClassifier,6,6,sgd,distance,0.5339366515837104
tanh,ball_tree,25,gini,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,15,adaptive,49,auto,4,31,randomForestClassifier,9,10,lbfgs,distance,0.9357466063348416
logistic,ball_tree,31,entropy,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,11,constant,45,log2,9,34,nnClassifier,5,9,sgd,uniform,0.5095022624434389
identity,kd_tree,17,entropy,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,15,adaptive,100,log2,9,13,randomForestClassifier,9,5,lbfgs,uniform,0.8995475113122172
identity,ball_tree,19,gini,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,36,adaptive,50,sqrt,5,30,randomForestClassifier,6,8,adam,distance,0.665158371040724
identity,auto,18,gini,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,32,constant,7,log2,7,6,randomForestClassifier,5,1,adam,distance,0.9076923076923077
logistic,auto,20,gini,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,35,adaptive,60,auto,16,4,nnClassifier,8,8,sgd,distance,0.5085972850678733
