feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,0,0,0,1,nnClassifier,tanh,NA,23,NA,nan,adaptive,nan,NA,nan,nan,1,nan,lbfgs,NA,1.0,319.6396210193634
0,1,0,1,1,0,nnClassifier,logistic,NA,12,NA,nan,invscaling,nan,NA,nan,nan,3,nan,lbfgs,NA,1.0,325.20322942733765
0,0,1,0,0,1,nnClassifier,logistic,NA,12,NA,nan,invscaling,nan,NA,nan,nan,8,nan,sgd,NA,1.0,337.07151770591736
1,0,0,0,0,0,nnClassifier,tanh,NA,15,NA,nan,adaptive,nan,NA,nan,nan,3,nan,sgd,NA,1.0,361.11600708961487
1,1,1,1,0,0,nnClassifier,tanh,NA,11,NA,nan,constant,nan,NA,nan,nan,9,nan,adam,NA,1.0,372.15240001678467
0,1,0,0,1,1,nnClassifier,identity,NA,16,NA,nan,invscaling,nan,NA,nan,nan,9,nan,adam,NA,1.0,379.82311058044434
0,0,0,0,1,0,nnClassifier,relu,NA,22,NA,nan,adaptive,nan,NA,nan,nan,3,nan,sgd,NA,1.0,394.67238092422485
1,0,0,0,1,0,nnClassifier,identity,NA,21,NA,nan,constant,nan,NA,nan,nan,2,nan,adam,NA,1.0,401.744601726532
0,0,0,1,0,1,nnClassifier,identity,NA,13,NA,nan,adaptive,nan,NA,nan,nan,7,nan,sgd,NA,1.0,420.7741310596466
0,0,0,0,0,0,nnClassifier,relu,NA,14,NA,nan,adaptive,nan,NA,nan,nan,4,nan,sgd,NA,0.0,425.21447134017944
0,1,1,0,1,0,nnClassifier,logistic,NA,14,NA,nan,invscaling,nan,NA,nan,nan,9,nan,adam,NA,1.0,437.11902809143066
1,1,1,0,0,0,nnClassifier,relu,NA,17,NA,nan,constant,nan,NA,nan,nan,7,nan,adam,NA,1.0,445.2618234157562
0,0,1,0,0,0,nnClassifier,identity,NA,32,NA,nan,constant,nan,NA,nan,nan,10,nan,sgd,NA,1.0,451.86950421333313
0,0,0,0,0,0,nnClassifier,identity,NA,13,NA,nan,invscaling,nan,NA,nan,nan,3,nan,sgd,NA,0.0,456.3738303184509
0,0,1,1,1,1,nnClassifier,identity,NA,32,NA,nan,invscaling,nan,NA,nan,nan,6,nan,adam,NA,1.0,463.17630887031555
0,1,0,0,1,1,nnClassifier,relu,NA,12,NA,nan,constant,nan,NA,nan,nan,2,nan,lbfgs,NA,1.0,467.90744280815125
1,0,1,0,1,0,nnClassifier,relu,NA,12,NA,nan,adaptive,nan,NA,nan,nan,1,nan,adam,NA,1.0,482.881671667099
0,1,1,1,0,0,nnClassifier,tanh,NA,15,NA,nan,constant,nan,NA,nan,nan,7,nan,adam,NA,1.0,492.96977400779724
0,1,0,1,0,0,nnClassifier,identity,NA,18,NA,nan,invscaling,nan,NA,nan,nan,7,nan,sgd,NA,1.0,499.6342113018036
0,0,1,1,1,0,nnClassifier,identity,NA,17,NA,nan,adaptive,nan,NA,nan,nan,3,nan,adam,NA,1.0,506.5940799713135
1,1,0,0,0,0,nnClassifier,tanh,NA,8,NA,nan,invscaling,nan,NA,nan,nan,8,nan,adam,NA,1.0,518.5854156017303
1,1,0,0,1,1,nnClassifier,relu,NA,15,NA,nan,invscaling,nan,NA,nan,nan,8,nan,lbfgs,NA,1.0,523.2609157562256
1,1,1,0,1,1,nnClassifier,relu,NA,13,NA,nan,adaptive,nan,NA,nan,nan,4,nan,sgd,NA,1.0,544.6398739814758
1,0,1,1,1,1,nnClassifier,logistic,NA,9,NA,nan,adaptive,nan,NA,nan,nan,10,nan,sgd,NA,1.0,574.9429252147675
0,0,1,0,0,1,nnClassifier,relu,NA,12,NA,nan,constant,nan,NA,nan,nan,4,nan,lbfgs,NA,1.0,579.2083692550659
1,1,1,0,1,1,nnClassifier,identity,NA,13,NA,nan,invscaling,nan,NA,nan,nan,2,nan,lbfgs,NA,1.0,583.5935156345367
1,0,0,1,1,1,nnClassifier,relu,NA,15,NA,nan,adaptive,nan,NA,nan,nan,6,nan,lbfgs,NA,1.0,588.014307975769
1,1,0,1,0,0,nnClassifier,logistic,NA,27,NA,nan,constant,nan,NA,nan,nan,7,nan,sgd,NA,1.0,597.222930431366
0,1,0,0,0,0,nnClassifier,tanh,NA,8,NA,nan,adaptive,nan,NA,nan,nan,2,nan,adam,NA,1.0,609.912171125412
0,1,0,1,0,0,nnClassifier,tanh,NA,23,NA,nan,constant,nan,NA,nan,nan,10,nan,sgd,NA,1.0,618.8635811805725
