feature_0,feature_1,feature_2,feature_3,feature_4,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,26,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.8888888888888888,492.00593519210815
1,0,1,0,1,kneighborsClassifier,NA,auto,nan,NA,33,NA,nan,NA,nan,nan,nan,2,NA,distance,0.85,497.2012963294983
0,1,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,20,NA,nan,NA,nan,nan,nan,4,NA,distance,0.8574074074074074,502.3180642127991
0,0,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,18,NA,nan,NA,nan,nan,nan,2,NA,distance,0.7592592592592593,507.62417459487915
1,1,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,7,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.8648148148148148,512.2508718967438
1,0,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,5,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.837037037037037,516.8201851844788
0,1,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,4,NA,nan,NA,nan,nan,nan,1,NA,distance,0.8444444444444444,521.6878662109375
0,0,1,1,0,kneighborsClassifier,NA,brute,nan,NA,3,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.7759259259259259,526.4426927566528
1,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,54,sqrt,6,13,nan,nan,NA,NA,0.8870370370370371,532.1002540588379
1,1,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,11,NA,nan,NA,nan,nan,nan,2,NA,distance,0.9111111111111111,536.8363072872162
