,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
77,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,nnClassifier,relu,None,32,None,None,invscaling,None,None,None,None,2,None,sgd,None,0.99609375,ok,343.32099361298606
78,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,nnClassifier,tanh,None,19,None,None,constant,None,None,None,None,10,None,lbfgs,None,0.986328125,ok,343.85902106412686
79,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,nnClassifier,logistic,None,29,None,None,invscaling,None,None,None,None,6,None,sgd,None,0.99609375,ok,352.19023670605384
80,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,nnClassifier,tanh,None,13,None,None,constant,None,None,None,None,9,None,adam,None,0.9921875,ok,368.2924362330232
81,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,kneighborsClassifier,None,brute,None,None,23.0,None,None,None,None,None,None,6.0,None,distance,0.013671875,ok,368.3863093520049
82,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,1.0,auto,17.0,14.0,None,None,None,None,0.421875,ok,370.31482222210616
83,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,nnClassifier,logistic,None,24,None,None,invscaling,None,None,None,None,5,None,sgd,None,0.99609375,ok,379.8698434000835
84,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,nnClassifier,tanh,None,8,None,None,constant,None,None,None,None,7,None,sgd,None,0.98828125,ok,392.45903296908364
85,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,nnClassifier,logistic,None,16,None,None,constant,None,None,None,None,7,None,sgd,None,0.99609375,ok,394.92359931604005
86,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,kneighborsClassifier,None,ball_tree,None,None,10.0,None,None,None,None,None,None,2.0,None,uniform,0.005859375,ok,394.9897131519392
87,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,61.0,log2,11.0,35.0,None,None,None,None,0.33203125,ok,400.887396377977
88,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,nnClassifier,logistic,None,21,None,None,constant,None,None,None,None,6,None,lbfgs,None,0.986328125,ok,401.5819994539488
89,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,nnClassifier,relu,None,31,None,None,invscaling,None,None,None,None,5,None,sgd,None,0.99609375,ok,409.70750623592176
90,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,nnClassifier,logistic,None,20,None,None,constant,None,None,None,None,7,None,sgd,None,0.99609375,ok,412.0142396299634
91,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,kneighborsClassifier,None,auto,None,None,36.0,None,None,None,None,None,None,4.0,None,uniform,0.0,ok,412.1548854650464
92,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,18.0,sqrt,4.0,24.0,None,None,None,None,0.517578125,ok,414.3081696240697
93,1,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,nnClassifier,identity,None,9,None,None,adaptive,None,None,None,None,8,None,adam,None,0.99609375,ok,422.01351647707634
94,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,nnClassifier,logistic,None,22,None,None,constant,None,None,None,None,6,None,sgd,None,0.99609375,ok,424.5634035789408
95,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,nnClassifier,logistic,None,19,None,None,constant,None,None,None,None,7,None,lbfgs,None,0.986328125,ok,425.2218798540998
96,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,nnClassifier,relu,None,26,None,None,adaptive,None,None,None,None,6,None,sgd,None,0.986328125,ok,434.28277966193855
97,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,kneighborsClassifier,None,kd_tree,None,None,27.0,None,None,None,None,None,None,8.0,None,distance,0.013671875,ok,434.3466244400479
98,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,randomForestClassifier,None,None,None,entropy,None,None,44.0,auto,15.0,6.0,None,None,None,None,0.193359375,ok,440.4919179130811
99,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,nnClassifier,relu,None,24,None,None,adaptive,None,None,None,None,10,None,sgd,None,0.990234375,ok,450.2407080391422
