activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,kd_tree,26,entropy,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,24,invscaling,32,log2,16,20,randomForestClassifier,6,3,adam,uniform,0.5118829981718465
tanh,auto,12,entropy,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,34,constant,15,log2,13,38,nnClassifier,2,5,adam,uniform,0.23948811700182815
relu,ball_tree,14,entropy,0,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,19,constant,11,sqrt,14,35,randomForestClassifier,2,4,sgd,uniform,0.5173674588665448
tanh,kd_tree,22,entropy,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,6,invscaling,35,auto,20,15,randomForestClassifier,4,9,adam,distance,0.5109689213893968
identity,kd_tree,32,entropy,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,28,adaptive,85,log2,15,17,nnClassifier,4,9,sgd,distance,0.024680073126142597
identity,auto,21,gini,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,16,constant,2,log2,2,6,nnClassifier,2,7,adam,distance,0.08318098720292505
logistic,brute,24,entropy,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,32,constant,86,sqrt,10,23,nnClassifier,10,7,adam,distance,0.06855575868372943
tanh,brute,8,gini,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,17,adaptive,95,sqrt,10,2,randomForestClassifier,3,7,lbfgs,distance,0.5457038391224863
logistic,kd_tree,13,entropy,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,34,constant,64,sqrt,3,37,kneighborsClassifier,9,9,sgd,distance,0.40585009140767825
identity,auto,18,entropy,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,30,invscaling,2,auto,5,16,randomForestClassifier,6,10,adam,uniform,0.46983546617915906
identity,kd_tree,11,gini,1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,35,invscaling,34,sqrt,15,25,nnClassifier,5,6,lbfgs,uniform,0.03016453382084095
identity,ball_tree,14,entropy,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,19,constant,39,log2,18,9,randomForestClassifier,9,5,lbfgs,distance,0.5164533820840951
tanh,brute,21,gini,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,30,constant,21,auto,6,22,kneighborsClassifier,1,5,lbfgs,distance,0.4835466179159049
logistic,brute,13,entropy,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,12,invscaling,33,log2,5,35,kneighborsClassifier,7,7,sgd,distance,0.4890310786106033
tanh,ball_tree,11,gini,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,4,invscaling,54,log2,14,22,kneighborsClassifier,8,4,lbfgs,distance,0.3930530164533821
relu,ball_tree,11,gini,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,16,adaptive,65,sqrt,19,29,kneighborsClassifier,3,5,sgd,uniform,0.46526508226691043
tanh,ball_tree,26,gini,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,27,constant,5,log2,4,11,nnClassifier,7,8,sgd,distance,0.22760511882998172
tanh,auto,19,gini,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,21,constant,8,sqrt,14,26,randomForestClassifier,2,7,lbfgs,uniform,0.5301645338208409
relu,ball_tree,11,entropy,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2,constant,48,log2,10,40,nnClassifier,4,9,lbfgs,distance,0.22394881170018283
tanh,brute,24,entropy,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,2,adaptive,85,sqrt,3,33,randomForestClassifier,7,8,lbfgs,uniform,0.5484460694698354
