feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,1,1,0,1,1,0,0,1,0,1,nnRegressor,tanh,NA,31,NA,nan,constant,nan,NA,nan,nan,5,nan,sgd,NA,0.9928109945180319,683.8650875091553
1,0,1,1,0,0,1,1,1,1,0,1,nnRegressor,tanh,NA,15,NA,nan,invscaling,nan,NA,nan,nan,6,nan,sgd,NA,0.9714939087887272,692.3788754940033
1,0,1,0,1,0,1,0,0,1,1,1,nnRegressor,logistic,NA,29,NA,nan,constant,nan,NA,nan,nan,9,nan,lbfgs,NA,0.999459523154536,699.1643524169922
0,0,1,0,0,0,1,1,1,1,1,0,nnRegressor,tanh,NA,27,NA,nan,invscaling,nan,NA,nan,nan,3,nan,lbfgs,NA,0.9996352881652513,707.1229758262634
0,0,1,1,1,1,0,0,0,1,1,0,nnRegressor,logistic,NA,18,NA,nan,constant,nan,NA,nan,nan,7,nan,sgd,NA,0.997898778262644,717.0454516410828
0,1,1,0,1,1,1,1,0,0,0,0,nnRegressor,tanh,NA,30,NA,nan,invscaling,nan,NA,nan,nan,6,nan,adam,NA,0.9977475360421207,724.3289511203766
1,1,1,0,0,0,0,1,1,0,0,0,nnRegressor,logistic,NA,28,NA,nan,adaptive,nan,NA,nan,nan,9,nan,sgd,NA,0.9985554932218202,743.9677700996399
0,1,1,0,0,1,0,0,1,0,0,1,nnRegressor,relu,NA,13,NA,nan,invscaling,nan,NA,nan,nan,3,nan,adam,NA,0.9999698586718749,755.2577936649323
1,0,1,1,0,0,0,0,0,0,1,0,nnRegressor,relu,NA,22,NA,nan,invscaling,nan,NA,nan,nan,4,nan,adam,NA,0.9995971061286304,762.4455351829529
0,0,1,0,0,0,0,1,0,1,0,0,nnRegressor,identity,NA,14,NA,nan,constant,nan,NA,nan,nan,5,nan,sgd,NA,0.9999999999533005,769.6629974842072
