activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,15,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,constant,51,auto,16,5,nnClassifier,4,7,adam,distance,0.990234375,824.8656667908654
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,constant,21,auto,13,5,nnClassifier,10,6,adam,distance,0.990234375,824.8657178599387
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,46,auto,18,7,nnClassifier,4,10,adam,distance,0.990234375,824.865767988842
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37,constant,34,auto,17,4,nnClassifier,8,7,adam,distance,0.994140625,824.8658179580234
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,76,auto,16,17,nnClassifier,10,8,adam,distance,0.9921875,824.8658677479252
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,constant,48,auto,18,4,nnClassifier,9,7,adam,distance,0.9921875,824.8659174269997
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,78,auto,16,3,nnClassifier,7,8,adam,distance,0.990234375,824.8659670259804
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,78,auto,16,20,nnClassifier,9,6,adam,distance,0.990234375,824.8660163159948
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,constant,50,auto,14,11,nnClassifier,10,6,adam,distance,0.990234375,824.866065565031
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,75,auto,15,5,nnClassifier,7,3,adam,distance,0.9921875,824.8661253340542
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,45,auto,18,10,nnClassifier,4,7,adam,distance,0.9921875,824.8661749628372
relu,auto,11,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,38,constant,53,auto,13,5,nnClassifier,9,7,adam,distance,0.9921875,824.8662243729923
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,48,auto,15,18,nnClassifier,8,7,adam,distance,0.990234375,824.8662735419348
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,47,auto,18,24,nnClassifier,6,7,adam,distance,0.990234375,824.8663222710602
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,76,auto,17,3,nnClassifier,7,7,adam,distance,0.990234375,824.8663711010013
relu,auto,15,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,constant,48,auto,18,7,nnClassifier,9,7,adam,distance,0.990234375,824.8664205400273
relu,auto,12,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,64,auto,11,24,nnClassifier,9,6,adam,distance,0.990234375,824.866469668923
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,constant,47,auto,13,12,nnClassifier,9,8,adam,distance,0.990234375,824.8665185479913
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,constant,22,auto,7,10,nnClassifier,7,6,adam,distance,0.9921875,824.8665675178636
