activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,19,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,24,auto,9,14,nnClassifier,10,4,adam,distance,0.9963369963369964,276.6413898349274
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,18,auto,8,17,nnClassifier,10,5,adam,distance,0.24175824175824176,276.64144381391816
relu,auto,16,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,71,auto,14,10,nnClassifier,9,6,adam,distance,0.0,276.64149796194397
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,32,auto,3,18,nnClassifier,6,3,adam,distance,0.304029304029304,729.6628005849198
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,46,auto,14,11,nnClassifier,7,7,adam,distance,0.3021978021978022,729.6628758141305
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,64,auto,9,15,nnClassifier,10,6,adam,distance,0.3058608058608059,729.6629332730081
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,81,auto,14,20,nnClassifier,6,8,adam,distance,0.315018315018315,729.6629886110313
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,constant,77,auto,7,20,nnClassifier,10,5,adam,distance,0.3076923076923077,729.6630438799039
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,52,auto,4,13,nnClassifier,8,4,adam,distance,0.29304029304029305,729.6630988989491
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,53,auto,8,12,nnClassifier,10,9,adam,distance,0.2948717948717949,729.6631543380208
relu,auto,15,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,58,auto,14,19,nnClassifier,6,3,adam,distance,0.29853479853479853,729.6632091270294
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,20,auto,7,16,nnClassifier,6,8,adam,distance,0.30036630036630035,729.6632742560469
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,25,auto,8,8,nnClassifier,7,7,adam,distance,0.29853479853479853,729.6633298750967
relu,auto,17,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,56,auto,8,23,nnClassifier,10,7,adam,distance,0.31135531135531136,729.6633848939091
