activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,auto,25,gini,0,1,1,1,1,31,invscaling,59,log2,5,38,kneighborsClassifier,10,2,adam,distance,0.726507713884993
relu,kd_tree,14,gini,1,1,0,0,1,20,invscaling,79,log2,3,21,nnClassifier,8,10,lbfgs,distance,0.5133239831697055
identity,brute,12,gini,1,0,0,0,1,4,constant,6,auto,9,3,randomForestClassifier,5,10,lbfgs,distance,0.938288920056101
logistic,brute,27,gini,1,0,0,0,0,40,invscaling,23,sqrt,16,10,randomForestClassifier,8,9,adam,distance,0.9354838709677419
relu,auto,22,entropy,0,0,0,1,0,24,invscaling,11,sqrt,5,7,kneighborsClassifier,3,1,adam,uniform,0.6563814866760168
identity,brute,14,gini,1,0,0,0,1,37,adaptive,43,log2,16,13,nnClassifier,6,3,lbfgs,distance,0.5231416549789621
identity,brute,19,gini,0,1,0,0,0,15,constant,98,sqrt,18,15,nnClassifier,3,5,adam,distance,0.49228611500701264
identity,ball_tree,11,gini,1,0,0,0,0,2,adaptive,50,sqrt,19,6,kneighborsClassifier,5,2,lbfgs,distance,0.8737727910238429
tanh,ball_tree,23,entropy,0,0,0,1,0,5,constant,77,sqrt,9,28,nnClassifier,3,8,lbfgs,distance,0.4908835904628331
identity,kd_tree,9,gini,0,1,1,1,0,15,constant,78,log2,3,36,randomForestClassifier,5,10,lbfgs,uniform,0.7685834502103787
logistic,kd_tree,16,gini,1,1,0,1,0,40,invscaling,72,auto,18,9,randomForestClassifier,9,1,lbfgs,uniform,0.9424964936886395
identity,auto,32,entropy,1,1,0,0,1,15,invscaling,74,auto,2,33,kneighborsClassifier,6,4,adam,distance,0.9228611500701263
logistic,brute,32,gini,1,0,0,1,1,19,constant,73,auto,7,4,kneighborsClassifier,8,8,sgd,uniform,0.9396914446002805
logistic,brute,13,entropy,1,1,0,0,0,37,constant,93,sqrt,19,5,nnClassifier,3,1,adam,uniform,0.5231416549789621
tanh,auto,13,gini,1,0,0,0,1,20,constant,53,sqrt,8,2,kneighborsClassifier,8,10,adam,uniform,0.9368863955119214
relu,ball_tree,32,entropy,0,0,0,1,0,40,adaptive,17,sqrt,20,26,kneighborsClassifier,9,10,adam,uniform,0.7307152875175316
logistic,kd_tree,23,entropy,0,0,1,0,0,16,invscaling,4,auto,9,30,randomForestClassifier,3,6,lbfgs,uniform,0.5918653576437588
