feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,25,NA,nan,NA,nan,nan,nan,8,NA,distance,0.9366515837104072,368.59916591644287
0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,14,NA,nan,NA,nan,nan,nan,1,NA,distance,0.9176470588235294,373.6156997680664
1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,30,sqrt,5,14,nan,nan,NA,NA,0.9131221719457013,379.35294914245605
0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,30,auto,1,2,nan,nan,NA,NA,0.9085972850678733,385.0528118610382
0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,52,sqrt,14,25,nan,nan,NA,NA,0.8986425339366516,390.81765508651733
0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,25,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.918552036199095,395.767454624176
1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,5,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.869683257918552,401.05787420272827
0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,70,sqrt,8,19,nan,nan,NA,NA,0.9140271493212669,406.30108976364136
0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,83,auto,14,15,nan,nan,NA,NA,0.9230769230769231,411.8315670490265
1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,76,sqrt,12,15,nan,nan,NA,NA,0.9375565610859729,417.7108242511749
0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,23,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9312217194570136,422.8459358215332
0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,6,NA,nan,NA,nan,nan,nan,7,NA,distance,0.9466063348416289,428.2655851840973
0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,7,auto,2,40,nan,nan,NA,NA,0.8986425339366516,433.64292645454407
0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,kneighborsClassifier,NA,auto,nan,NA,16,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9085972850678733,438.38796210289
0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,55,sqrt,16,37,nan,nan,NA,NA,0.9447963800904977,443.9652647972107
0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,kneighborsClassifier,NA,auto,nan,NA,29,NA,nan,NA,nan,nan,nan,3,NA,distance,0.9402714932126697,449.05001425743103
1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,kneighborsClassifier,NA,brute,nan,NA,14,NA,nan,NA,nan,nan,nan,3,NA,distance,0.9484162895927601,454.2368149757385
1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,90,auto,16,5,nan,nan,NA,NA,0.9221719457013575,459.54225277900696
1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,nnClassifier,relu,NA,23,NA,nan,invscaling,nan,NA,nan,nan,6,nan,adam,NA,0.5185520361990951,480.6444983482361
0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,5,NA,nan,NA,nan,nan,nan,10,NA,distance,0.9330316742081448,486.12208676338196
0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,3,NA,nan,NA,nan,nan,nan,2,NA,distance,0.934841628959276,491.6192123889923
1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,kneighborsClassifier,NA,auto,nan,NA,2,NA,nan,NA,nan,nan,nan,5,NA,distance,0.9212669683257918,496.94793939590454
1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,kneighborsClassifier,NA,brute,nan,NA,3,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.9357466063348416,501.98543524742126
1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,11,NA,nan,NA,nan,nan,nan,3,NA,distance,0.9321266968325792,507.22602224349976
0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,16,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.9122171945701357,512.361563205719
0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,25,NA,nan,NA,nan,nan,nan,9,NA,distance,0.9411764705882353,517.6261100769043
1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,31,sqrt,7,13,nan,nan,NA,NA,0.9076923076923077,522.9991717338562
1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,71,sqrt,3,2,nan,nan,NA,NA,0.9366515837104072,528.2922925949097
1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,kneighborsClassifier,NA,brute,nan,NA,21,NA,nan,NA,nan,nan,nan,3,NA,distance,0.9221719457013575,533.324465751648
1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,kneighborsClassifier,NA,auto,nan,NA,11,NA,nan,NA,nan,nan,nan,6,NA,distance,0.8986425339366516,538.4714460372925
1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,11,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.8841628959276018,543.0959377288818
0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,4,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.9122171945701357,547.697999715805
1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,33,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9113122171945701,552.7385902404785
1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,4,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.9248868778280543,557.9238524436951
0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,74,auto,20,33,nan,nan,NA,NA,0.9058823529411765,563.3576853275299
1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,30,NA,nan,NA,nan,nan,nan,7,NA,distance,0.9565610859728507,568.1255760192871
1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,15,NA,nan,NA,nan,nan,nan,5,NA,distance,0.9466063348416289,572.8646697998047
1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,kneighborsClassifier,NA,auto,nan,NA,36,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9312217194570136,577.2495546340942
1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,kneighborsClassifier,NA,brute,nan,NA,29,NA,nan,NA,nan,nan,nan,7,NA,distance,0.9484162895927601,581.654750585556
1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,kneighborsClassifier,NA,auto,nan,NA,38,NA,nan,NA,nan,nan,nan,1,NA,distance,0.951131221719457,586.216623544693
