activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,31,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,66,auto,11,19,nnClassifier,9,7,adam,distance,0.2915904936014625,2965.91365871788
relu,auto,31,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,constant,76,auto,13,29,nnClassifier,5,9,adam,distance,0.2842778793418647,2965.9137198568787
relu,auto,29,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,constant,65,auto,12,23,nnClassifier,10,10,adam,distance,0.3007312614259598,2965.9137786959764
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,constant,19,auto,8,19,nnClassifier,4,10,adam,distance,0.2979890310786106,2965.913838194916
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,71,auto,11,24,nnClassifier,9,8,adam,distance,0.2961608775137112,2965.913896934828
relu,auto,31,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,constant,66,auto,11,23,nnClassifier,9,10,adam,distance,0.3117001828153565,2965.913955353899
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,constant,68,auto,11,19,nnClassifier,10,7,adam,distance,0.2961608775137112,2965.9140138328075
relu,auto,24,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,49,auto,10,22,nnClassifier,6,8,adam,distance,0.2906764168190128,2965.914081041934
relu,auto,32,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,69,auto,12,20,nnClassifier,8,8,adam,distance,0.30347349177330896,2965.914139360888
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,constant,71,auto,14,32,nnClassifier,7,8,adam,distance,0.3007312614259598,2965.9141973699443
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,39,auto,9,19,nnClassifier,6,8,adam,distance,0.3016453382084095,2965.9142561089247
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,45,auto,8,23,nnClassifier,7,6,adam,distance,0.2943327239488117,2965.9143144888803
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,constant,71,auto,10,15,nnClassifier,5,4,adam,distance,0.2870201096892139,2965.9143721878063
relu,auto,32,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,constant,73,auto,12,11,nnClassifier,7,8,adam,distance,0.31352833638025596,2965.9144299768377
relu,auto,30,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,constant,67,auto,11,25,nnClassifier,9,8,adam,distance,0.2979890310786106,2965.9144882159308
relu,auto,29,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,38,auto,10,14,nnClassifier,7,7,adam,distance,0.27513711151736747,2965.91454612487
relu,auto,29,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,constant,84,auto,13,22,nnClassifier,9,8,adam,distance,0.2842778793418647,2965.9146043148357
