feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,nnClassifier,logistic,NA,9,NA,nan,adaptive,nan,NA,nan,nan,10,nan,sgd,NA,0.998046875,725.7954318523407
0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,84,log2,5,7,nan,nan,NA,NA,0.56640625,736.3006939888
1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,nnClassifier,logistic,NA,18,NA,nan,constant,nan,NA,nan,nan,10,nan,sgd,NA,0.998046875,742.3528761863708
1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,nnClassifier,tanh,NA,16,NA,nan,adaptive,nan,NA,nan,nan,7,nan,sgd,NA,0.994140625,760.0174131393433
1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,nnClassifier,logistic,NA,9,NA,nan,invscaling,nan,NA,nan,nan,6,nan,sgd,NA,0.998046875,778.0540335178375
0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,nnClassifier,identity,NA,18,NA,nan,invscaling,nan,NA,nan,nan,5,nan,sgd,NA,0.998046875,786.5170540809631
0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,nnClassifier,identity,NA,31,NA,nan,invscaling,nan,NA,nan,nan,6,nan,sgd,NA,0.998046875,794.8418879508972
0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,nnClassifier,logistic,NA,26,NA,nan,constant,nan,NA,nan,nan,5,nan,sgd,NA,0.998046875,801.2621603012085
0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,nnClassifier,logistic,NA,19,NA,nan,constant,nan,NA,nan,nan,10,nan,sgd,NA,0.998046875,807.5417234897614
1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,nnClassifier,tanh,NA,18,NA,nan,invscaling,nan,NA,nan,nan,6,nan,sgd,NA,0.998046875,821.7498645782471
0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,nnClassifier,tanh,NA,30,NA,nan,invscaling,nan,NA,nan,nan,8,nan,sgd,NA,0.998046875,834.7463471889496
1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,nnClassifier,identity,NA,15,NA,nan,invscaling,nan,NA,nan,nan,4,nan,sgd,NA,0.998046875,844.459196805954
0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,nnClassifier,identity,NA,14,NA,nan,invscaling,nan,NA,nan,nan,4,nan,sgd,NA,0.998046875,852.6036982536316
0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,nnClassifier,logistic,NA,8,NA,nan,invscaling,nan,NA,nan,nan,5,nan,sgd,NA,0.998046875,866.2164995670319
