activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,auto,9,gini,0,1,1,19,adaptive,81,auto,17,25,kneighborsClassifier,2,6,sgd,distance,0.9407327586206896
relu,auto,12,gini,0,1,0,32,invscaling,41,log2,14,33,nnClassifier,6,7,adam,distance,0.9331896551724138
relu,auto,29,entropy,0,0,0,18,adaptive,69,sqrt,6,26,nnClassifier,3,1,sgd,uniform,0
tanh,kd_tree,29,gini,1,0,0,8,constant,82,auto,4,5,kneighborsClassifier,7,8,adam,uniform,0.9461206896551724
logistic,auto,11,entropy,0,0,1,12,invscaling,31,log2,20,33,randomForestClassifier,3,6,sgd,uniform,0.9461206896551724
identity,auto,28,gini,1,0,1,37,adaptive,19,sqrt,2,7,randomForestClassifier,2,7,adam,distance,0.947198275862069
logistic,kd_tree,15,entropy,0,1,0,8,invscaling,29,sqrt,5,11,randomForestClassifier,4,5,adam,uniform,0.9461206896551724
relu,kd_tree,27,gini,0,1,0,40,invscaling,70,auto,17,20,kneighborsClassifier,6,4,sgd,distance,0.9461206896551724
identity,kd_tree,18,entropy,1,1,1,16,constant,47,auto,12,11,randomForestClassifier,4,4,lbfgs,distance,0.9461206896551724
logistic,brute,14,gini,0,0,1,37,invscaling,80,sqrt,5,13,nnClassifier,7,1,adam,uniform,0.9310344827586207
logistic,brute,30,entropy,1,0,1,34,invscaling,62,sqrt,19,38,kneighborsClassifier,5,7,sgd,uniform,0.9461206896551724
relu,brute,26,entropy,1,0,0,40,invscaling,40,log2,8,40,randomForestClassifier,1,8,sgd,distance,0.9461206896551724
identity,kd_tree,27,gini,1,0,0,2,adaptive,11,sqrt,2,34,kneighborsClassifier,2,10,lbfgs,uniform,0.9461206896551724
