,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
33,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,83.0,sqrt,4.0,40.0,None,None,None,None,0.6243144424131627,ok,117.81594078289345
34,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,nnClassifier,tanh,None,9.0,None,None,constant,None,None,None,None,4.0,None,sgd,None,0.30895795246800734,ok,168.3800976430066
35,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,79.0,sqrt,2.0,36.0,None,None,None,None,0.6462522851919561,ok,171.56869410304353
36,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,73.0,sqrt,2.0,35.0,None,None,None,None,0.6352833638025595,ok,175.13959804992191
37,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,nnClassifier,identity,None,14.0,None,None,constant,None,None,None,None,6.0,None,adam,None,0.12157221206581353,ok,185.13717925106175
38,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,65.0,sqrt,2.0,34.0,None,None,None,None,0.6252285191956124,ok,188.81406846106984
39,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,nnClassifier,identity,None,32.0,None,None,invscaling,None,None,None,None,4.0,None,sgd,None,0.04296160877513711,ok,193.75986995105632
40,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,89.0,sqrt,20.0,32.0,None,None,None,None,0.6197440585009141,ok,195.56564043089747
41,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,73.0,sqrt,2.0,17.0,None,None,None,None,0.5493601462522852,ok,199.39490555389784
42,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,nnClassifier,tanh,None,24.0,None,None,invscaling,None,None,None,None,7.0,None,adam,None,0.263254113345521,ok,226.2867156250868
43,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,57.0,auto,3.0,27.0,None,None,None,None,0.5776965265082267,ok,229.20126048708335
44,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,kneighborsClassifier,None,kd_tree,None,None,30,None,None,None,None,None,None,10,None,uniform,0.4305301645338208,ok,229.31788133387454
