feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,1,0,1,0,kneighborsRegressor,NA,auto,nan,NA,21,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.5260489892656213,145.34276461601257
1,1,1,0,1,1,kneighborsRegressor,NA,auto,nan,NA,14,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.5378482153472086,150.47939348220825
1,0,0,1,1,0,kneighborsRegressor,NA,ball_tree,nan,NA,20,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.5835513420849776,155.02141857147217
1,0,1,1,0,0,kneighborsRegressor,NA,kd_tree,nan,NA,33,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.41139236424930437,159.77160596847534
1,0,1,1,0,0,kneighborsRegressor,NA,kd_tree,nan,NA,10,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.3833911432746183,164.62561225891113
0,1,1,1,1,0,kneighborsRegressor,NA,auto,nan,NA,31,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.3601927355983294,170.72596335411072
1,0,1,0,1,0,kneighborsRegressor,NA,brute,nan,NA,5,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.5902166349420627,176.05811953544617
1,0,1,0,0,1,kneighborsRegressor,NA,brute,nan,NA,36,NA,nan,NA,nan,nan,nan,5,NA,distance,0.3525446032196141,181.66215062141418
1,0,1,0,1,0,kneighborsRegressor,NA,kd_tree,nan,NA,18,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.590816118930169,186.94483709335327
1,1,0,0,0,0,kneighborsRegressor,NA,kd_tree,nan,NA,27,NA,nan,NA,nan,nan,nan,10,NA,distance,0.2980210184851094,192.11997413635254
1,0,1,0,1,0,kneighborsRegressor,NA,kd_tree,nan,NA,39,NA,nan,NA,nan,nan,nan,9,NA,distance,0.5060491008203394,196.74592971801758
1,0,0,0,1,0,kneighborsRegressor,NA,ball_tree,nan,NA,3,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.5724815321897136,202.0633807182312
1,0,0,0,1,0,kneighborsRegressor,NA,ball_tree,nan,NA,9,NA,nan,NA,nan,nan,nan,2,NA,distance,0.41807117777172575,206.64071679115295
1,0,0,0,1,0,kneighborsRegressor,NA,ball_tree,nan,NA,33,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.5691737327948887,211.11139822006226
0,0,0,1,1,1,kneighborsRegressor,NA,auto,nan,NA,37,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.08706927298457146,215.91447162628174
1,0,1,1,0,1,kneighborsRegressor,NA,kd_tree,nan,NA,36,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.4203237741924074,220.85513138771057
1,0,0,0,1,0,kneighborsRegressor,NA,kd_tree,nan,NA,17,NA,nan,NA,nan,nan,nan,1,NA,distance,0.27308735153460595,225.92106914520264
1,0,0,0,1,0,kneighborsRegressor,NA,auto,nan,NA,15,NA,nan,NA,nan,nan,nan,8,NA,distance,0.5264516184909325,231.0579674243927
1,0,1,0,1,1,kneighborsRegressor,NA,kd_tree,nan,NA,20,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.5652909020483143,235.66024088859558
1,0,0,0,1,0,kneighborsRegressor,NA,ball_tree,nan,NA,27,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.5427277671034819,240.8948516845703
1,1,0,1,1,0,kneighborsRegressor,NA,brute,nan,NA,10,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.5389307346855813,245.35012364387512
