feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,5,sqrt,20,24,nan,nan,NA,NA,0.6935286935286935,529.3315079212189
0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,12,sqrt,7,34,nan,nan,NA,NA,0.873015873015873,536.430960893631
0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,97,auto,4,34,nan,nan,NA,NA,0.8766788766788767,545.4281899929047
0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,100,sqrt,5,26,nan,nan,NA,NA,0.8827838827838828,552.7044718265533
0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,47,auto,6,28,nan,nan,NA,NA,0.8827838827838828,562.6530389785767
0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,95,sqrt,9,21,nan,nan,NA,NA,0.8766788766788767,570.5064253807068
0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,34,auto,7,21,nan,nan,NA,NA,0.8766788766788767,579.1660857200623
1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,94,log2,12,18,nan,nan,NA,NA,0.8791208791208791,589.3532288074493
0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,50,sqrt,9,7,nan,nan,NA,NA,0.8791208791208791,597.068680524826
1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,77,sqrt,6,10,nan,nan,NA,NA,0.8827838827838828,605.9626970291138
