activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,kd_tree,18,entropy,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,34,constant,77,log2,2,40,randomForestClassifier,1,8,sgd,uniform,0.9321266968325792
tanh,ball_tree,9,entropy,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,34,constant,77,log2,2,40,randomForestClassifier,1,8,sgd,uniform,0.9294117647058824
tanh,ball_tree,9,entropy,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,34,constant,77,sqrt,2,40,randomForestClassifier,1,8,sgd,uniform,0.9294117647058824
identity,kd_tree,21,entropy,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,34,constant,77,sqrt,2,40,randomForestClassifier,1,8,sgd,uniform,0.9230769230769231
relu,brute,17,entropy,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,19,invscaling,78,log2,20,17,kneighborsClassifier,5,7,sgd,uniform,0.9221719457013575
relu,brute,17,gini,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,4,invscaling,10,auto,2,24,randomForestClassifier,2,10,lbfgs,distance,0.934841628959276
identity,kd_tree,18,entropy,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,4,invscaling,10,auto,2,24,randomForestClassifier,2,10,lbfgs,distance,0.9475113122171945
tanh,ball_tree,9,entropy,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,27,adaptive,62,sqrt,17,31,kneighborsClassifier,10,6,sgd,distance,0.9330316742081448
identity,kd_tree,18,entropy,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,27,adaptive,62,sqrt,17,31,kneighborsClassifier,10,6,sgd,distance,0.9375565610859729
tanh,kd_tree,9,entropy,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,34,constant,77,log2,2,40,kneighborsClassifier,1,8,sgd,uniform,0.9076923076923077
identity,kd_tree,18,entropy,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,34,constant,77,log2,2,40,randomForestClassifier,1,8,sgd,uniform,0.9321266968325792
logistic,ball_tree,31,entropy,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,34,constant,77,sqrt,2,40,randomForestClassifier,1,8,sgd,uniform,0.9294117647058824
tanh,ball_tree,9,entropy,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,34,constant,77,sqrt,14,40,randomForestClassifier,1,2,sgd,uniform,0.9239819004524887
identity,kd_tree,21,entropy,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,19,invscaling,78,log2,20,17,kneighborsClassifier,5,7,sgd,uniform,0.9049773755656109
relu,brute,17,entropy,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,4,invscaling,27,log2,3,2,randomForestClassifier,8,8,lbfgs,distance,0.9502262443438914
relu,brute,17,gini,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,4,invscaling,27,log2,3,2,randomForestClassifier,8,8,lbfgs,distance,0.951131221719457
relu,brute,17,entropy,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,4,invscaling,27,log2,3,2,randomForestClassifier,8,8,lbfgs,distance,0.9502262443438914
identity,kd_tree,18,entropy,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,4,invscaling,10,auto,2,24,randomForestClassifier,2,10,lbfgs,distance,0.9475113122171945
identity,kd_tree,18,entropy,1,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,4,invscaling,10,auto,2,24,randomForestClassifier,2,10,lbfgs,distance,0.9420814479638009
