,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
16,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,80.0,auto,11.0,5.0,None,None,None,None,0.9652014652014652,ok,57.84289585193619
17,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,kneighborsClassifier,None,ball_tree,None,None,19.0,None,None,None,None,None,None,1.0,None,uniform,0.8681318681318682,ok,57.9099124900531
18,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,nnClassifier,relu,None,25,None,None,invscaling,None,None,None,None,8,None,sgd,None,0.005494505494505495,ok,67.98390205600299
19,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,nnClassifier,logistic,None,10,None,None,invscaling,None,None,None,None,10,None,adam,None,0.3131868131868132,ok,94.59797956002876
20,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,45.0,auto,13.0,5.0,None,None,None,None,0.9358974358974359,ok,95.44448505016044
21,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,100.0,auto,15.0,9.0,None,None,None,None,0.9340659340659341,ok,96.27251001005061
22,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,98.0,auto,8.0,15.0,None,None,None,None,0.9523809523809523,ok,97.13599486509338
23,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,44.0,auto,16.0,13.0,None,None,None,None,0.9340659340659341,ok,97.95651136594824
24,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,81.0,auto,9.0,4.0,None,None,None,None,0.9835164835164835,ok,98.82341219205409
25,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,55.0,auto,7.0,17.0,None,None,None,None,0.978021978021978,ok,99.680070864968
