,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
52,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,nnClassifier,relu,None,17.0,None,None,adaptive,None,None,None,None,3.0,None,sgd,None,1.0,ok,248.67684841598384
53,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,nnClassifier,tanh,None,23.0,None,None,adaptive,None,None,None,None,7.0,None,sgd,None,1.0,ok,261.6579285231419
54,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,42.0,auto,20.0,14.0,None,None,None,None,0.9936642027455121,ok,262.178924866952
55,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,kneighborsClassifier,None,brute,None,None,20,None,None,None,None,None,None,3,None,distance,0.9947201689545935,ok,262.3317498310935
56,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,nnClassifier,relu,None,17.0,None,None,adaptive,None,None,None,None,4.0,None,sgd,None,1.0,ok,274.79418470407836
57,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,nnClassifier,tanh,None,11.0,None,None,adaptive,None,None,None,None,3.0,None,sgd,None,1.0,ok,297.61303950008005
58,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,100.0,log2,13.0,21.0,None,None,None,None,0.9947201689545935,ok,298.14061376894824
59,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,nnClassifier,identity,None,24.0,None,None,invscaling,None,None,None,None,7.0,None,lbfgs,None,1.0,ok,298.4572354571428
60,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,nnClassifier,identity,None,25.0,None,None,invscaling,None,None,None,None,7.0,None,lbfgs,None,1.0,ok,298.68505915417336
61,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,kneighborsClassifier,None,auto,None,None,28,None,None,None,None,None,None,7,None,uniform,0.9947201689545935,ok,298.90024075098336
62,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,nnClassifier,identity,None,29.0,None,None,invscaling,None,None,None,None,8.0,None,lbfgs,None,1.0,ok,299.1204834000673
63,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,25.0,log2,7.0,6.0,None,None,None,None,0.9947201689545935,ok,299.6881756701041
64,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,nnClassifier,logistic,None,21.0,None,None,constant,None,None,None,None,9.0,None,lbfgs,None,1.0,ok,300.12013215594925
65,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,nnClassifier,logistic,None,30.0,None,None,constant,None,None,None,None,9.0,None,adam,None,1.0,ok,304.9438368009869
66,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,nnClassifier,logistic,None,31.0,None,None,constant,None,None,None,None,10.0,None,adam,None,1.0,ok,309.85914977802895
67,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,nnClassifier,identity,None,27.0,None,None,invscaling,None,None,None,None,6.0,None,adam,None,1.0,ok,311.91176748112775
68,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,nnClassifier,identity,None,26.0,None,None,invscaling,None,None,None,None,5.0,None,adam,None,1.0,ok,314.012226189021
69,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,nnClassifier,relu,None,23.0,None,None,invscaling,None,None,None,None,8.0,None,lbfgs,None,1.0,ok,314.29834292898886
70,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,nnClassifier,identity,None,22.0,None,None,adaptive,None,None,None,None,5.0,None,sgd,None,1.0,ok,322.8797504999675
71,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,nnClassifier,relu,None,10.0,None,None,adaptive,None,None,None,None,2.0,None,sgd,None,1.0,ok,341.7684695220087
72,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,nnClassifier,tanh,None,10.0,None,None,adaptive,None,None,None,None,2.0,None,sgd,None,1.0,ok,366.4918838669546
73,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,nnClassifier,identity,None,32.0,None,None,invscaling,None,None,None,None,10.0,None,lbfgs,None,1.0,ok,366.8143844020087
