feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,1,1,1,1,1,1,0,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,2,sqrt,2,8,nan,nan,NA,NA,0.9096459096459096,546.5808529853821
0,1,1,1,0,1,1,0,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,94,log2,18,30,nan,nan,NA,NA,0.9340659340659341,552.6374599933624
0,1,1,0,1,0,0,1,1,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,10,sqrt,14,33,nan,nan,NA,NA,0.8705738705738706,557.6006832122803
1,0,0,0,0,0,0,1,0,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,25,log2,1,3,nan,nan,NA,NA,0.8424908424908425,562.8067691326141
0,1,1,0,0,1,0,1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,19,sqrt,12,3,nan,nan,NA,NA,0.9340659340659341,568.254499912262
1,1,1,1,0,0,1,0,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,18,log2,8,8,nan,nan,NA,NA,0.9194139194139194,573.4452621936798
1,1,0,1,0,0,1,0,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,26,auto,1,7,nan,nan,NA,NA,0.9133089133089133,578.6569821834564
1,1,1,1,0,1,1,0,0,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,54,sqrt,10,2,nan,nan,NA,NA,0.9365079365079365,583.9685499668121
1,0,1,0,0,1,0,1,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,83,sqrt,9,5,nan,nan,NA,NA,0.9316239316239316,589.4002358913422
1,1,1,0,0,0,0,1,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,9,sqrt,3,22,nan,nan,NA,NA,0.8852258852258852,594.3436987400055
