activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,brute,23,entropy,0,0,0,1,1,0,1,1,0,0,1,1,39,invscaling,27,auto,19,17,randomForestClassifier,7,5,sgd,distance,0.9157509157509157
logistic,auto,22,entropy,1,1,0,1,0,1,0,1,0,0,1,0,21,invscaling,92,log2,7,9,randomForestClassifier,1,10,sgd,distance,0.9157509157509157
tanh,kd_tree,20,gini,1,1,0,0,1,0,1,0,0,0,1,1,39,invscaling,19,auto,19,4,randomForestClassifier,7,5,sgd,distance,0.9145299145299145
tanh,kd_tree,20,gini,1,1,0,0,1,0,1,0,0,0,1,1,39,invscaling,19,auto,19,4,randomForestClassifier,7,5,sgd,distance,0.9145299145299145
logistic,brute,23,entropy,0,0,0,1,1,1,1,1,0,0,1,1,39,invscaling,19,auto,19,4,randomForestClassifier,7,9,sgd,distance,0.9304029304029304
logistic,auto,22,entropy,1,1,0,0,0,1,0,1,0,1,1,1,33,invscaling,26,auto,3,13,randomForestClassifier,4,3,adam,uniform,0.9120879120879121
tanh,auto,26,gini,1,0,1,1,1,0,1,0,0,1,1,1,33,invscaling,26,log2,16,13,randomForestClassifier,4,8,adam,uniform,0.9133089133089133
logistic,auto,22,entropy,1,1,0,1,0,1,0,1,0,1,1,1,4,invscaling,26,log2,16,14,randomForestClassifier,4,3,adam,uniform,0.9218559218559218
logistic,auto,22,gini,1,1,0,1,0,1,0,1,0,0,1,0,21,invscaling,32,log2,7,9,randomForestClassifier,1,10,adam,distance,0.9120879120879121
tanh,kd_tree,20,gini,1,1,0,0,1,0,0,0,0,0,1,1,39,invscaling,27,auto,19,17,randomForestClassifier,7,5,sgd,distance,0.8693528693528694
relu,brute,23,gini,0,0,0,1,1,0,1,1,0,0,1,0,21,constant,92,log2,7,9,kneighborsClassifier,1,10,sgd,uniform,0.7533577533577533
logistic,auto,22,entropy,1,1,0,1,0,1,0,1,0,1,1,1,39,invscaling,19,auto,19,4,randomForestClassifier,7,5,sgd,distance,0.9242979242979243
tanh,kd_tree,20,gini,1,1,1,0,1,0,1,0,0,0,1,1,39,invscaling,19,auto,19,4,randomForestClassifier,7,5,sgd,distance,0.9096459096459096
tanh,kd_tree,20,gini,1,1,0,0,1,0,1,0,0,1,1,1,33,invscaling,26,auto,16,13,randomForestClassifier,4,3,adam,uniform,0.9169719169719169
logistic,brute,23,entropy,0,0,0,1,1,1,1,1,0,0,1,1,39,invscaling,19,auto,19,4,randomForestClassifier,7,9,sgd,distance,0.9304029304029304
logistic,brute,23,entropy,0,0,0,1,1,1,1,1,0,1,1,1,33,invscaling,26,auto,16,13,randomForestClassifier,4,3,adam,uniform,0.9291819291819292
logistic,auto,22,entropy,1,1,0,1,0,1,0,1,0,0,1,1,39,invscaling,19,auto,19,4,randomForestClassifier,7,5,sgd,distance,0.9255189255189256
logistic,auto,22,entropy,1,1,0,1,0,1,0,1,0,1,1,1,39,invscaling,19,auto,19,4,randomForestClassifier,7,5,sgd,distance,0.9242979242979243
relu,auto,26,gini,1,0,1,1,1,0,1,0,0,1,1,1,33,invscaling,26,auto,3,13,randomForestClassifier,4,3,adam,uniform,0.9230769230769231
logistic,auto,22,entropy,1,1,0,1,0,1,0,1,0,1,1,1,33,invscaling,26,log2,16,13,randomForestClassifier,4,3,adam,uniform,0.9218559218559218
logistic,auto,22,entropy,1,1,0,1,0,1,0,1,0,1,1,1,4,invscaling,26,log2,16,13,randomForestClassifier,4,3,adam,uniform,0.9218559218559218
logistic,auto,22,entropy,1,1,0,1,0,1,0,1,0,1,1,1,4,invscaling,26,log2,16,14,randomForestClassifier,4,3,adam,uniform,0.9218559218559218
tanh,kd_tree,20,gini,1,1,0,0,1,0,1,0,0,1,1,1,33,invscaling,26,auto,16,13,randomForestClassifier,4,3,adam,uniform,0.9169719169719169
tanh,kd_tree,20,gini,1,1,0,0,1,0,1,0,0,0,1,0,21,invscaling,32,log2,7,9,randomForestClassifier,1,10,adam,distance,0.9157509157509157
logistic,brute,23,entropy,0,0,0,1,1,1,1,1,0,1,1,1,33,invscaling,26,auto,16,13,randomForestClassifier,4,9,adam,uniform,0.9291819291819292
logistic,brute,23,entropy,0,0,0,1,1,1,1,1,0,0,1,1,39,invscaling,19,auto,19,4,randomForestClassifier,7,5,sgd,distance,0.9304029304029304
logistic,auto,22,entropy,1,1,0,1,0,1,0,1,0,1,1,1,39,invscaling,19,auto,19,4,randomForestClassifier,7,5,sgd,distance,0.9242979242979243
logistic,auto,22,entropy,1,1,0,1,0,1,0,1,0,1,1,1,33,invscaling,26,auto,18,13,randomForestClassifier,4,3,adam,uniform,0.9218559218559218
relu,auto,26,gini,1,0,1,1,1,0,1,0,0,1,1,1,33,invscaling,26,log2,16,13,randomForestClassifier,4,3,adam,uniform,0.9133089133089133
logistic,auto,22,entropy,1,1,0,1,0,1,0,1,0,1,1,1,4,invscaling,26,log2,16,13,randomForestClassifier,4,3,adam,uniform,0.9218559218559218
logistic,auto,22,entropy,1,1,0,1,0,1,0,1,0,1,1,1,4,invscaling,26,log2,16,14,randomForestClassifier,4,3,adam,uniform,0.9218559218559218
logistic,auto,22,entropy,1,1,0,1,0,1,0,1,0,1,1,1,33,invscaling,26,auto,16,13,randomForestClassifier,4,3,adam,uniform,0.9255189255189256
tanh,kd_tree,20,gini,1,1,0,1,1,0,1,0,0,0,1,0,21,invscaling,32,log2,7,9,randomForestClassifier,1,10,adam,distance,0.9010989010989011
tanh,kd_tree,20,gini,1,1,0,0,1,0,1,0,0,0,1,1,39,invscaling,19,auto,19,4,randomForestClassifier,7,9,sgd,distance,0.9145299145299145
