feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,1,1,0,1,1,1,1,1,1,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,4,NA,nan,NA,nan,nan,nan,6,NA,distance,0.8905622489959839,361.2202191352844
0,0,1,1,1,0,1,1,1,0,1,1,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,37,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.9889558232931727,366.03438234329224
0,0,1,1,1,0,0,0,0,0,1,1,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,34,NA,nan,NA,nan,nan,nan,3,NA,distance,0.9518072289156626,370.58741998672485
1,1,1,0,1,1,0,1,1,1,1,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,5,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.8845381526104418,375.48585748672485
1,1,1,1,1,1,1,1,1,0,1,1,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,30,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.893574297188755,379.9713523387909
0,1,1,0,1,0,0,1,1,0,0,1,1,0,kneighborsClassifier,NA,auto,nan,NA,28,NA,nan,NA,nan,nan,nan,1,NA,distance,0.9548192771084337,384.93083572387695
1,0,1,1,1,0,1,0,1,1,1,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,7,NA,nan,NA,nan,nan,nan,1,NA,distance,0.998995983935743,389.7544515132904
0,0,1,1,0,1,0,1,1,1,0,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,38,NA,nan,NA,nan,nan,nan,6,NA,distance,0.9849397590361446,394.6549632549286
1,0,1,1,1,0,0,0,1,0,1,1,0,1,kneighborsClassifier,NA,auto,nan,NA,26,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.9899598393574297,399.8661208152771
0,0,1,0,1,1,1,0,1,1,1,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,28,NA,nan,NA,nan,nan,nan,4,NA,distance,0.9899598393574297,404.9501111507416
1,0,1,0,0,1,1,0,1,0,1,1,0,1,kneighborsClassifier,NA,brute,nan,NA,31,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.9979919678714859,409.6393165588379
1,0,1,1,0,0,1,1,1,1,1,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,11,NA,nan,NA,nan,nan,nan,1,NA,distance,0.998995983935743,414.540513753891
1,0,1,0,0,1,0,0,1,1,0,1,1,1,kneighborsClassifier,NA,brute,nan,NA,17,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.9789156626506024,419.24092388153076
1,1,1,1,1,1,1,0,1,1,1,0,0,1,kneighborsClassifier,NA,auto,nan,NA,21,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.8634538152610441,424.31543922424316
0,0,1,1,1,0,0,0,1,1,0,1,1,1,kneighborsClassifier,NA,auto,nan,NA,17,NA,nan,NA,nan,nan,nan,4,NA,distance,0.9839357429718876,429.08593821525574
1,0,1,1,0,1,0,0,1,1,0,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,7,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.9718875502008032,434.138797044754
0,0,1,0,0,1,0,0,1,1,1,0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,38,NA,nan,NA,nan,nan,nan,10,NA,distance,0.9759036144578314,439.29633235931396
1,0,1,0,1,0,1,1,1,0,1,0,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,5,NA,nan,NA,nan,nan,nan,1,NA,distance,0.9969879518072289,443.8998529911041
1,0,1,1,1,1,0,0,1,0,1,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,40,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.998995983935743,448.5040066242218
1,0,1,1,1,1,1,0,1,1,1,0,0,1,kneighborsClassifier,NA,brute,nan,NA,4,NA,nan,NA,nan,nan,nan,2,NA,distance,0.998995983935743,453.30505180358887
1,0,1,1,1,1,1,0,1,1,0,0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,26,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.9979919678714859,458.4397144317627
1,0,1,0,1,1,0,0,1,1,1,1,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,3,NA,nan,NA,nan,nan,nan,9,NA,distance,0.9859437751004017,463.50519609451294
1,0,1,1,1,1,1,1,1,1,0,1,0,0,kneighborsClassifier,NA,auto,nan,NA,40,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.9939759036144579,468.3271701335907
1,0,1,0,0,1,0,0,1,1,1,1,0,1,kneighborsClassifier,NA,brute,nan,NA,20,NA,nan,NA,nan,nan,nan,2,NA,distance,0.9959839357429718,473.3199954032898
1,0,1,1,0,0,1,0,1,0,1,1,1,0,kneighborsClassifier,NA,auto,nan,NA,40,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.9929718875502008,477.8519604206085
1,0,1,0,0,0,1,1,1,0,1,1,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,6,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.9949799196787149,482.4467785358429
1,0,0,0,1,1,1,0,1,0,0,0,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,29,NA,nan,NA,nan,nan,nan,2,NA,distance,0.9789156626506024,486.9564936161041
