feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,5,log2,17,18,nan,nan,NA,NA,0.9688644688644689,390.9950113296509
0,1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,74,log2,5,39,nan,nan,NA,NA,0.9963369963369964,396.4200701713562
0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,2,sqrt,17,36,nan,nan,NA,NA,0.8351648351648352,401.4258277416229
0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,8,sqrt,5,35,nan,nan,NA,NA,0.9688644688644689,407.10972332954407
0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,81,auto,2,27,nan,nan,NA,NA,0.9926739926739927,413.3985240459442
1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,4,auto,20,29,nan,nan,NA,NA,0.8571428571428571,418.7980101108551
1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,5,sqrt,12,9,nan,nan,NA,NA,0.9688644688644689,424.1508798599243
0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,nnClassifier,tanh,NA,26,NA,nan,constant,nan,NA,nan,nan,8,nan,sgd,NA,0.32234432234432236,439.70843386650085
1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,71,auto,11,35,nan,nan,NA,NA,0.9597069597069597,445.3076732158661
0,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,4,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.8315018315018315,449.93371844291687
0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,8,sqrt,2,19,nan,nan,NA,NA,0.9468864468864469,455.4939920902252
1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,86,log2,20,14,nan,nan,NA,NA,0.9761904761904762,461.4521315097809
1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,28,log2,12,24,nan,nan,NA,NA,0.9926739926739927,467.38205456733704
0,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,5,auto,17,29,nan,nan,NA,NA,0.9157509157509157,472.910395860672
1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,51,auto,19,30,nan,nan,NA,NA,0.9871794871794872,478.70705580711365
0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,95,auto,20,4,nan,nan,NA,NA,0.9945054945054945,484.73858666419983
1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,8,auto,17,32,nan,nan,NA,NA,0.9633699633699634,490.4146993160248
1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,11,auto,7,39,nan,nan,NA,NA,0.9432234432234432,495.7838976383209
0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,59,sqrt,13,6,nan,nan,NA,NA,0.9871794871794872,500.8909738063812
