activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,brute,17,gini,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,27,adaptive,37,log2,18,19,kneighborsClassifier,3,2,lbfgs,distance,0.990909090909091
relu,ball_tree,29,gini,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,23,constant,16,sqrt,15,28,randomForestClassifier,3,4,adam,uniform,0.9218181818181819
logistic,kd_tree,14,gini,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,12,adaptive,74,sqrt,15,3,randomForestClassifier,7,7,sgd,distance,0.9436363636363636
logistic,kd_tree,14,gini,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,29,invscaling,94,log2,7,21,kneighborsClassifier,7,5,lbfgs,uniform,0.9836363636363636
logistic,ball_tree,8,gini,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,1,9,adaptive,5,log2,7,38,randomForestClassifier,1,5,sgd,distance,0.8618181818181818
identity,kd_tree,20,gini,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,8,invscaling,84,sqrt,2,40,kneighborsClassifier,5,5,lbfgs,uniform,0.9818181818181818
tanh,kd_tree,28,entropy,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,39,invscaling,84,sqrt,4,38,randomForestClassifier,6,5,sgd,distance,0.9527272727272728
identity,brute,20,gini,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,17,invscaling,88,sqrt,3,31,randomForestClassifier,8,2,adam,uniform,0.9545454545454546
identity,kd_tree,9,entropy,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,1,21,constant,50,log2,4,35,nnClassifier,9,2,adam,uniform,0.09090909090909091
relu,kd_tree,15,entropy,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,40,constant,59,auto,14,34,randomForestClassifier,2,8,lbfgs,uniform,0.9490909090909091
tanh,brute,25,entropy,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,25,constant,29,sqrt,17,32,nnClassifier,6,8,adam,uniform,0.09818181818181818
logistic,auto,27,entropy,0,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,31,invscaling,75,auto,15,24,nnClassifier,6,8,sgd,uniform,0.0
relu,kd_tree,20,gini,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,7,constant,72,sqrt,20,33,randomForestClassifier,1,8,sgd,uniform,0.9472727272727273
relu,ball_tree,32,gini,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,17,constant,42,sqrt,20,21,nnClassifier,5,2,sgd,uniform,0.09818181818181818
tanh,ball_tree,14,entropy,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,4,invscaling,9,auto,8,36,randomForestClassifier,9,2,sgd,uniform,0.9490909090909091
tanh,auto,14,entropy,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,21,invscaling,6,log2,9,29,kneighborsClassifier,8,2,adam,uniform,0.9854545454545455
relu,kd_tree,16,gini,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,28,invscaling,81,log2,16,27,kneighborsClassifier,7,8,lbfgs,distance,0.9836363636363636
relu,auto,13,entropy,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,16,invscaling,41,sqrt,5,37,randomForestClassifier,2,2,sgd,distance,0.96
tanh,kd_tree,25,gini,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,6,invscaling,19,auto,13,40,randomForestClassifier,5,6,lbfgs,uniform,0.9454545454545454
identity,ball_tree,26,entropy,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,33,adaptive,43,sqrt,5,21,randomForestClassifier,7,6,lbfgs,distance,0.9581818181818181
relu,kd_tree,12,gini,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,37,adaptive,77,log2,8,30,kneighborsClassifier,1,10,lbfgs,distance,0.9854545454545455
relu,kd_tree,13,gini,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,24,constant,80,auto,6,32,nnClassifier,5,9,adam,distance,0.09818181818181818
relu,brute,9,gini,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,38,adaptive,24,auto,17,40,nnClassifier,10,3,lbfgs,distance,0.09818181818181818
relu,brute,31,entropy,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,4,invscaling,9,sqrt,5,29,nnClassifier,6,8,lbfgs,distance,0.09636363636363636
tanh,ball_tree,8,entropy,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,19,adaptive,39,sqrt,10,30,kneighborsClassifier,2,8,adam,distance,0.9927272727272727
tanh,kd_tree,16,gini,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,29,invscaling,5,log2,20,13,kneighborsClassifier,3,10,adam,uniform,0.9872727272727273
relu,brute,32,gini,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,9,constant,17,sqrt,6,5,kneighborsClassifier,2,2,lbfgs,uniform,0.9836363636363636
logistic,brute,26,gini,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,26,constant,40,log2,14,4,nnClassifier,6,6,lbfgs,distance,0.0890909090909091
identity,ball_tree,15,entropy,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,40,adaptive,77,sqrt,17,27,randomForestClassifier,6,4,adam,uniform,0.9490909090909091
identity,auto,16,gini,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,16,invscaling,58,auto,17,4,kneighborsClassifier,10,5,adam,distance,0.9927272727272727
