feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,20,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.5219378427787934,155.2724986076355
0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,63,sqrt,7,2,nan,nan,NA,NA,0.4890310786106033,162.1091330051422
0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,17,sqrt,8,25,nan,nan,NA,NA,0.643510054844607,169.6654920578003
1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,67,log2,6,2,nan,nan,NA,NA,0.5301645338208409,178.55678367614746
1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,66,sqrt,10,19,nan,nan,NA,NA,0.5502742230347349,186.2101604938507
1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,55,auto,5,39,nan,nan,NA,NA,0.6325411334552102,194.45870995521545
1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,61,auto,4,40,nan,nan,NA,NA,0.593235831809872,202.29299879074097
0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,kneighborsClassifier,NA,brute,nan,NA,9,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.42138939670932357,207.34609603881836
0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,25,auto,9,22,nan,nan,NA,NA,0.5795246800731262,213.99169969558716
0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,37,auto,3,30,nan,nan,NA,NA,0.623400365630713,221.0221529006958
