,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
32,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,nnClassifier,identity,None,30.0,None,None,invscaling,None,None,None,None,2.0,None,sgd,None,0.5104072398190045,ok,142.5884687169455
33,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,40.0,log2,2.0,3.0,None,None,None,None,0.9457013574660633,ok,143.1960451840423
34,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,kneighborsClassifier,None,auto,None,None,2,None,None,None,None,None,None,10,None,uniform,0.92579185520362,ok,143.69350191298872
35,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,20.0,log2,10.0,6.0,None,None,None,None,0.9429864253393665,ok,144.30200603301637
36,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,nnClassifier,tanh,None,9.0,None,None,invscaling,None,None,None,None,7.0,None,sgd,None,0.49411764705882355,ok,157.46783560607582
37,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,17.0,log2,18.0,15.0,None,None,None,None,0.9366515837104072,ok,158.06260937289335
38,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,17.0,log2,11.0,25.0,None,None,None,None,0.9339366515837104,ok,158.7671111410018
39,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,36.0,log2,9.0,6.0,None,None,None,None,0.9122171945701357,ok,159.3845481639728
40,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,kneighborsClassifier,None,auto,None,None,5,None,None,None,None,None,None,10,None,uniform,0.9131221719457013,ok,159.6388488318771
41,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,17.0,log2,17.0,31.0,None,None,None,None,0.9004524886877828,ok,160.2380118689034
