,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
82,0,1,1,1,0,1,1,1,1,1,1,0,nnClassifier,logistic,None,16.0,None,None,invscaling,None,None,None,None,5.0,None,sgd,None,0.7045177045177046,ok,263.0225137511734
83,0,1,1,0,0,1,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,43.0,log2,17.0,10.0,None,None,None,None,0.9340659340659341,ok,264.5846601820085
84,1,1,1,1,0,0,0,0,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,24.0,auto,8.0,15.0,None,None,None,None,0.9072039072039072,ok,265.9387788451277
85,0,1,0,1,0,1,0,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,6.0,log2,10.0,9.0,None,None,None,None,0.9206349206349206,ok,266.9117526570335
86,0,0,1,1,1,1,1,1,0,0,0,0,kneighborsClassifier,None,ball_tree,None,None,10,None,None,None,None,None,None,5,None,distance,0.8107448107448108,ok,266.9717285691295
87,0,1,1,1,0,1,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,58.0,log2,14.0,4.0,None,None,None,None,0.9365079365079365,ok,268.57140754698776
88,1,1,1,0,0,0,0,0,1,1,1,1,nnClassifier,relu,None,19.0,None,None,adaptive,None,None,None,None,7.0,None,adam,None,0.5995115995115995,ok,290.5872993080411
89,0,1,0,1,0,1,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,15.0,sqrt,12.0,7.0,None,None,None,None,0.9267399267399268,ok,291.81127168401144
90,0,0,1,1,1,1,1,1,0,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,2.0,log2,5.0,19.0,None,None,None,None,0.8962148962148963,ok,292.4912570870947
91,0,1,1,1,0,1,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,30.0,log2,16.0,14.0,None,None,None,None,0.938949938949939,ok,294.07358819409274
92,0,1,1,0,0,1,0,1,1,1,1,0,kneighborsClassifier,None,brute,None,None,35,None,None,None,None,None,None,6,None,uniform,0.7582417582417582,ok,294.2335961300414
93,1,1,1,1,0,0,0,0,1,1,1,1,nnClassifier,tanh,None,27.0,None,None,constant,None,None,None,None,1.0,None,lbfgs,None,0.5787545787545788,ok,299.2262511900626
94,0,1,0,1,1,1,0,1,0,0,0,1,randomForestClassifier,None,None,None,gini,None,None,11.0,auto,7.0,21.0,None,None,None,None,0.9169719169719169,ok,300.1759835241828
95,0,0,1,1,0,1,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,63.0,log2,19.0,13.0,None,None,None,None,0.9377289377289377,ok,301.7879368211143
96,0,1,1,0,0,1,1,1,1,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,31.0,sqrt,20.0,26.0,None,None,None,None,0.9267399267399268,ok,302.90959844505414
97,1,1,1,1,0,0,0,0,1,1,1,1,kneighborsClassifier,None,ball_tree,None,None,22,None,None,None,None,None,None,7,None,uniform,0.796092796092796,ok,303.00419180700555
98,0,1,1,1,0,1,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,83.0,log2,11.0,6.0,None,None,None,None,0.938949938949939,ok,304.64814270311035
99,0,1,0,1,1,1,0,1,0,0,1,1,nnClassifier,identity,None,11.0,None,None,constant,None,None,None,None,9.0,None,lbfgs,None,0.6214896214896215,ok,304.9070344869979
