,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
34,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,19.0,sqrt,2.0,15.0,None,None,None,None,0.8913308913308914,ok,141.14610429899767
35,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,6.0,auto,5.0,20.0,None,None,None,None,0.5164835164835165,ok,142.76489825895987
36,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,randomForestClassifier,None,None,None,gini,None,None,32.0,auto,4.0,6.0,None,None,None,None,0.8962148962148963,ok,145.74732871493325
37,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,nnClassifier,tanh,None,9,None,None,adaptive,None,None,None,None,8,None,sgd,None,0.4981684981684982,ok,184.92115318099968
38,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,45.0,auto,10.0,12.0,None,None,None,None,0.45787545787545786,ok,188.2403707630001
39,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,13.0,sqrt,5.0,16.0,None,None,None,None,0.8937728937728938,ok,190.80258501297794
40,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,nnClassifier,logistic,None,18,None,None,invscaling,None,None,None,None,7,None,lbfgs,None,0.48473748473748474,ok,195.1862132269889
41,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,kneighborsClassifier,None,auto,None,None,27.0,None,None,None,None,None,None,7.0,None,uniform,0.6141636141636142,ok,195.3783456569072
42,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,38.0,auto,2.0,17.0,None,None,None,None,0.8925518925518926,ok,200.15648403391242
43,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,50.0,log2,14.0,23.0,None,None,None,None,0.49694749694749696,ok,203.0437989330385
