activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,ball_tree,12,entropy,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,40,adaptive,33,log2,5,11,nnClassifier,5,5,sgd,distance,1.0
relu,kd_tree,15,gini,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,36,adaptive,30,log2,19,20,randomForestClassifier,8,7,sgd,uniform,0.9936642027455121
logistic,auto,24,gini,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,37,constant,58,log2,12,25,kneighborsClassifier,2,7,lbfgs,uniform,0.9936642027455121
relu,kd_tree,13,gini,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,35,invscaling,34,sqrt,7,24,randomForestClassifier,2,9,lbfgs,distance,0.9947201689545935
identity,kd_tree,29,entropy,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,11,invscaling,19,sqrt,5,35,nnClassifier,6,8,lbfgs,distance,1.0
identity,ball_tree,17,gini,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,37,constant,8,sqrt,5,13,nnClassifier,8,10,lbfgs,distance,1.0
logistic,kd_tree,18,entropy,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,22,adaptive,60,sqrt,12,20,kneighborsClassifier,9,9,sgd,uniform,0.9936642027455121
identity,kd_tree,22,entropy,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,12,adaptive,78,log2,3,10,kneighborsClassifier,9,10,adam,distance,0.996832101372756
tanh,kd_tree,29,gini,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,19,constant,46,sqrt,16,5,nnClassifier,5,8,sgd,distance,1.0
tanh,auto,30,entropy,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,3,constant,11,auto,20,32,kneighborsClassifier,5,10,sgd,uniform,0.9936642027455121
identity,kd_tree,20,gini,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,30,constant,69,auto,9,6,nnClassifier,8,3,lbfgs,distance,1.0
identity,auto,27,entropy,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,33,constant,44,auto,11,29,nnClassifier,3,1,adam,uniform,1.0
identity,brute,20,entropy,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,21,invscaling,25,log2,2,14,kneighborsClassifier,8,10,sgd,uniform,0.9926082365364308
identity,auto,11,gini,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,26,adaptive,80,log2,8,3,nnClassifier,5,6,adam,uniform,1.0
tanh,ball_tree,13,gini,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,0,37,invscaling,1,auto,20,26,randomForestClassifier,5,3,adam,uniform,0.9936642027455121
