feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,nnRegressor,logistic,NA,11,NA,nan,invscaling,nan,NA,nan,nan,9,nan,lbfgs,NA,0.5133669863064876,837.5771718025208
1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,nnRegressor,tanh,NA,14,NA,nan,constant,nan,NA,nan,nan,7,nan,lbfgs,NA,0.47083261886946537,847.5135626792908
0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,nnRegressor,identity,NA,9,NA,nan,invscaling,nan,NA,nan,nan,3,nan,sgd,NA,0.5241604861901268,854.3873069286346
1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,nnRegressor,logistic,NA,23,NA,nan,invscaling,nan,NA,nan,nan,7,nan,lbfgs,NA,0.5369186125806175,859.3949239253998
1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,nnRegressor,relu,NA,14,NA,nan,adaptive,nan,NA,nan,nan,8,nan,sgd,NA,0.38016327403809247,875.0715391635895
0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,nnRegressor,logistic,NA,11,NA,nan,invscaling,nan,NA,nan,nan,8,nan,adam,NA,0.5217336382097328,882.1485500335693
1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,kneighborsRegressor,NA,auto,nan,NA,27,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.3158530030434913,886.2444808483124
0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,nnRegressor,logistic,NA,14,NA,nan,invscaling,nan,NA,nan,nan,10,nan,adam,NA,0.5310153586578766,892.6325302124023
0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,nnRegressor,tanh,NA,16,NA,nan,invscaling,nan,NA,nan,nan,10,nan,sgd,NA,-0.2498162465536038,898.5194888114929
1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,nnRegressor,relu,NA,32,NA,nan,constant,nan,NA,nan,nan,10,nan,adam,NA,0.4827157148521257,904.0532329082489
0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,nnRegressor,identity,NA,13,NA,nan,constant,nan,NA,nan,nan,6,nan,adam,NA,0.5147852028594253,911.4584939479828
1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,1,nnRegressor,tanh,NA,22,NA,nan,invscaling,nan,NA,nan,nan,7,nan,adam,NA,0.5062228927960171,917.9300289154053
