activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,ball_tree,19,entropy,0,0,1,0,1,24,invscaling,80,log2,13,6,randomForestClassifier,9,9,adam,uniform,0.8037037037037037
tanh,brute,10,entropy,1,0,1,1,1,36,adaptive,5,sqrt,2,29,nnClassifier,2,5,sgd,distance,0.5888888888888889
identity,auto,17,entropy,0,0,0,0,1,16,adaptive,53,auto,5,11,randomForestClassifier,10,1,sgd,uniform,0.7685185185185185
relu,ball_tree,22,gini,1,1,1,0,0,23,constant,83,auto,9,19,nnClassifier,1,7,adam,uniform,0.5833333333333334
identity,kd_tree,10,gini,1,0,1,1,0,18,adaptive,31,auto,6,17,nnClassifier,9,10,sgd,distance,0.6222222222222222
logistic,kd_tree,21,gini,1,1,1,1,1,5,adaptive,36,auto,13,27,kneighborsClassifier,10,2,lbfgs,uniform,0.8703703703703703
logistic,brute,14,entropy,0,1,0,0,0,17,constant,52,sqrt,15,22,randomForestClassifier,9,6,adam,distance,0.7185185185185186
identity,ball_tree,10,gini,0,0,0,1,0,7,invscaling,11,auto,6,2,nnClassifier,1,6,sgd,uniform,0.6037037037037037
logistic,brute,10,entropy,0,0,0,1,0,5,constant,86,sqrt,13,15,randomForestClassifier,8,8,sgd,distance,0.7833333333333333
tanh,kd_tree,30,entropy,1,0,0,1,0,16,constant,98,sqrt,7,29,randomForestClassifier,9,1,lbfgs,distance,0.8166666666666667
relu,auto,26,entropy,0,1,1,0,1,37,adaptive,53,log2,7,18,kneighborsClassifier,3,1,adam,distance,0.85
identity,ball_tree,23,gini,0,1,1,1,1,26,invscaling,91,sqrt,11,21,nnClassifier,4,2,sgd,uniform,0.6092592592592593
logistic,kd_tree,30,entropy,1,0,0,1,0,21,invscaling,97,auto,9,23,randomForestClassifier,4,8,sgd,distance,0.8055555555555556
relu,kd_tree,9,gini,1,0,1,0,0,18,adaptive,48,log2,10,18,kneighborsClassifier,2,5,lbfgs,uniform,0.8037037037037037
identity,ball_tree,24,gini,1,0,0,1,1,18,adaptive,78,auto,12,22,kneighborsClassifier,2,5,adam,uniform,0.8296296296296296
