activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_5,feature_50,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,ball_tree,16,entropy,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,26,adaptive,49,sqrt,19,37,kneighborsClassifier,7,6,sgd,uniform,0.5228758169934641
logistic,auto,23,entropy,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,5,constant,87,sqrt,15,22,kneighborsClassifier,6,3,sgd,uniform,0.5392156862745098
identity,kd_tree,20,gini,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,32,adaptive,81,auto,14,37,nnClassifier,10,4,adam,distance,0.09640522875816994
relu,auto,14,gini,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,26,constant,29,auto,11,14,kneighborsClassifier,1,3,sgd,uniform,0.5392156862745098
identity,auto,29,entropy,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,14,constant,64,log2,17,40,nnClassifier,5,5,adam,distance,0.11274509803921569
tanh,ball_tree,14,gini,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,11,adaptive,39,auto,4,27,kneighborsClassifier,2,3,lbfgs,distance,0.545751633986928
tanh,kd_tree,25,entropy,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,29,invscaling,75,auto,20,4,randomForestClassifier,2,5,lbfgs,uniform,0.5490196078431373
relu,brute,10,gini,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,25,constant,50,sqrt,5,39,kneighborsClassifier,10,1,sgd,distance,0.545751633986928
tanh,auto,24,gini,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,4,invscaling,92,log2,18,37,kneighborsClassifier,4,7,adam,uniform,0.545751633986928
tanh,ball_tree,12,gini,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,15,constant,32,log2,4,16,kneighborsClassifier,3,4,sgd,uniform,0.5490196078431373
tanh,auto,21,entropy,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,27,constant,87,sqrt,3,27,nnClassifier,7,1,sgd,distance,0.2042483660130719
tanh,kd_tree,8,entropy,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,2,adaptive,97,log2,18,37,kneighborsClassifier,1,4,lbfgs,distance,0.5718954248366013
logistic,auto,16,gini,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,16,adaptive,90,auto,2,31,kneighborsClassifier,5,4,lbfgs,distance,0.5669934640522876
identity,ball_tree,14,gini,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,40,invscaling,77,auto,6,15,randomForestClassifier,4,1,lbfgs,distance,0.5947712418300654
