,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
44,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,kneighborsClassifier,None,kd_tree,None,None,28.0,None,None,None,None,None,None,2.0,None,uniform,0.9654545454545455,ok,103.8394518981222
45,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,nnClassifier,relu,None,20.0,None,None,invscaling,None,None,None,None,1.0,None,adam,None,0.023636363636363636,ok,118.45191976404749
46,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,79,auto,2,33,None,None,None,None,0.9127272727272727,ok,120.65580374095589
47,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,kneighborsClassifier,None,ball_tree,None,None,17.0,None,None,None,None,None,None,7.0,None,uniform,0.98,ok,120.76682061189786
48,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,nnClassifier,logistic,None,9.0,None,None,constant,None,None,None,None,1.0,None,lbfgs,None,0.0,ok,120.990904167993
49,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,kneighborsClassifier,None,ball_tree,None,None,26.0,None,None,None,None,None,None,1.0,None,uniform,0.9763636363636363,ok,121.09467040607706
50,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,36,log2,12,25,None,None,None,None,0.9381818181818182,ok,122.27392966905609
51,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,nnClassifier,logistic,None,14.0,None,None,invscaling,None,None,None,None,7.0,None,lbfgs,None,0.08545454545454545,ok,125.54447089601308
52,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,kneighborsClassifier,None,auto,None,None,22.0,None,None,None,None,None,None,5.0,None,uniform,0.9745454545454545,ok,125.67221779492684
53,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,kneighborsClassifier,None,kd_tree,None,None,7.0,None,None,None,None,None,None,6.0,None,distance,0.9745454545454545,ok,125.78399290307425
