,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
24,1,0,0,0,0,1,1,1,1,1,0,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,98.0,log2,2.0,24.0,None,None,None,None,0.9718875502008032,ok,100.5052312889602
25,1,0,1,1,0,1,0,1,1,1,1,1,0,0,randomForestClassifier,None,None,None,gini,None,None,77.0,log2,6.0,3.0,None,None,None,None,0.9829317269076305,ok,102.11258477414958
26,1,0,0,0,0,1,0,1,1,1,0,0,0,0,randomForestClassifier,None,None,None,gini,None,None,41.0,log2,6.0,4.0,None,None,None,None,0.9678714859437751,ok,103.28550867317244
27,1,0,1,1,0,1,0,1,1,1,1,1,0,0,kneighborsClassifier,None,kd_tree,None,None,39.0,None,None,None,None,None,None,10.0,None,distance,0.9879518072289156,ok,103.3520978980232
28,1,0,1,1,0,1,0,1,1,1,1,1,0,0,kneighborsClassifier,None,kd_tree,None,None,39.0,None,None,None,None,None,None,10.0,None,distance,0.9879518072289156,ok,103.41825199103914
29,1,0,1,1,0,1,0,1,1,1,1,1,0,0,kneighborsClassifier,None,kd_tree,None,None,40.0,None,None,None,None,None,None,10.0,None,distance,0.9879518072289156,ok,103.48844566312619
30,1,0,1,1,0,1,0,1,1,1,1,1,0,0,kneighborsClassifier,None,kd_tree,None,None,39.0,None,None,None,None,None,None,10.0,None,distance,0.9879518072289156,ok,103.55904693901539
31,1,0,1,1,0,1,0,1,1,1,1,1,0,0,kneighborsClassifier,None,kd_tree,None,None,33.0,None,None,None,None,None,None,9.0,None,distance,0.9879518072289156,ok,103.6267423350364
32,1,0,1,1,0,1,0,1,1,1,1,1,0,1,kneighborsClassifier,None,kd_tree,None,None,34.0,None,None,None,None,None,None,8.0,None,distance,0.9919678714859438,ok,103.69440762209706
33,1,0,1,1,0,1,0,1,1,1,1,1,0,1,kneighborsClassifier,None,kd_tree,None,None,33.0,None,None,None,None,None,None,8.0,None,distance,0.9919678714859438,ok,103.76403495413251
34,1,0,1,1,0,1,0,1,1,1,1,1,0,1,kneighborsClassifier,None,kd_tree,None,None,32.0,None,None,None,None,None,None,8.0,None,distance,0.9919678714859438,ok,103.83207919402048
35,1,0,1,1,0,1,0,1,1,1,1,1,0,1,kneighborsClassifier,None,kd_tree,None,None,32.0,None,None,None,None,None,None,8.0,None,distance,0.9919678714859438,ok,103.90107064810582
36,1,0,1,1,0,1,0,1,1,1,1,1,0,1,nnClassifier,tanh,None,32,None,None,invscaling,None,None,None,None,2,None,adam,None,0.7098393574297188,ok,122.82039051596075
37,1,0,1,1,0,1,0,1,1,1,1,1,0,1,kneighborsClassifier,None,kd_tree,None,None,29.0,None,None,None,None,None,None,7.0,None,distance,0.9919678714859438,ok,122.89339052001014
38,1,0,1,1,0,1,0,1,1,1,1,1,1,1,kneighborsClassifier,None,kd_tree,None,None,27.0,None,None,None,None,None,None,7.0,None,distance,0.9939759036144579,ok,122.96815965301357
39,1,0,1,1,0,1,0,1,1,1,1,1,1,1,nnClassifier,relu,None,9,None,None,adaptive,None,None,None,None,10,None,adam,None,0.714859437751004,ok,149.07964708306827
40,1,0,1,1,0,0,0,1,0,1,1,1,1,1,kneighborsClassifier,None,kd_tree,None,None,26.0,None,None,None,None,None,None,5.0,None,distance,0.9969879518072289,ok,149.14697289606556
41,1,0,1,1,0,0,0,1,0,0,1,1,1,1,kneighborsClassifier,None,kd_tree,None,None,25.0,None,None,None,None,None,None,1.0,None,distance,0.9959839357429718,ok,149.2105077439919
42,1,1,1,1,0,0,0,1,0,0,1,1,1,1,nnClassifier,identity,None,13,None,None,invscaling,None,None,None,None,10,None,lbfgs,None,0.7188755020080321,ok,149.55529957497492
43,1,0,1,1,1,0,0,1,0,0,1,1,1,1,kneighborsClassifier,None,auto,None,None,17.0,None,None,None,None,None,None,2.0,None,distance,0.998995983935743,ok,149.62139025796205
44,0,1,1,1,1,0,0,1,0,0,1,0,1,1,kneighborsClassifier,None,auto,None,None,10.0,None,None,None,None,None,None,1.0,None,distance,0.9538152610441767,ok,149.69109440012835
45,1,0,1,1,1,0,0,1,0,0,1,0,1,1,nnClassifier,tanh,None,31,None,None,invscaling,None,None,None,None,2,None,adam,None,0.7108433734939759,ok,168.92406433913857
46,0,0,1,1,1,0,0,0,0,0,1,1,1,1,kneighborsClassifier,None,auto,None,None,18.0,None,None,None,None,None,None,2.0,None,distance,0.9608433734939759,ok,168.99213241203688
47,1,1,1,1,1,0,0,1,0,0,1,1,1,1,kneighborsClassifier,None,auto,None,None,12.0,None,None,None,None,None,None,5.0,None,distance,0.9016064257028112,ok,169.0620896720793
48,0,0,0,0,1,0,1,0,0,0,1,0,1,1,kneighborsClassifier,None,auto,None,None,17.0,None,None,None,None,None,None,2.0,None,distance,0.9116465863453815,ok,169.12436143611558
