activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,ball_tree,18,poisson,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,19,adaptive,20,auto,14,17,nnRegressor,8,7,lbfgs,distance,0.3051280912751265
tanh,brute,8,mse,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,35,invscaling,21,auto,13,40,nnRegressor,10,1,adam,distance,0.3602640437586534
identity,kd_tree,29,mse,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,26,adaptive,56,auto,16,35,nnRegressor,7,1,adam,uniform,0.2764385781645927
identity,kd_tree,18,poisson,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,11,adaptive,91,log2,11,31,nnRegressor,8,9,sgd,uniform,0.13867327662496154
identity,brute,12,mse,0,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,19,adaptive,30,sqrt,10,18,nnRegressor,9,5,adam,uniform,0.08784293216470263
tanh,brute,20,mae,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,7,adaptive,54,auto,4,39,nnRegressor,9,8,adam,uniform,0.3056442768099824
identity,kd_tree,12,mse,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,36,constant,67,log2,19,29,nnRegressor,3,10,sgd,uniform,-0.005768038763119376
logistic,kd_tree,13,mse,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,8,invscaling,82,sqrt,10,7,nnRegressor,4,10,sgd,uniform,0.010641435364988405
relu,brute,25,poisson,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,27,constant,38,auto,17,13,nnRegressor,5,7,adam,uniform,0.4976466932304482
relu,brute,12,mae,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,7,constant,45,auto,3,20,kneighborsRegressor,1,2,lbfgs,uniform,0.09709754995056097
