,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
14,1,1,1,1,0,0,1,0,0,1,0,0,1,1,kneighborsRegressor,None,ball_tree,None,None,7.0,None,None,None,None,None,None,2.0,None,uniform,0.7180135242510808,ok,140.4814168519806
15,1,0,0,0,1,1,0,0,0,1,1,1,0,0,kneighborsRegressor,None,kd_tree,None,None,3.0,None,None,None,None,None,None,6.0,None,uniform,0.6911908486537877,ok,140.5203566311393
16,1,1,0,1,0,0,0,1,0,1,0,1,0,0,randomForestRegressor,None,None,None,mae,None,None,64.0,sqrt,5.0,5.0,None,None,None,None,0.7247698412682835,ok,150.69498742418364
17,1,0,1,0,1,1,0,1,0,1,1,0,1,1,kneighborsRegressor,None,kd_tree,None,None,34.0,None,None,None,None,None,None,9.0,None,uniform,0.7535606919720718,ok,150.81522229104303
18,1,1,0,1,1,0,0,0,1,1,1,0,1,0,kneighborsRegressor,None,auto,None,None,24.0,None,None,None,None,None,None,2.0,None,uniform,0.6438637727640981,ok,150.84993579913862
19,1,1,1,0,1,0,1,1,0,0,0,1,1,1,kneighborsRegressor,None,brute,None,None,21.0,None,None,None,None,None,None,3.0,None,distance,0.7200586139655392,ok,150.9078925671056
20,1,1,1,0,1,1,0,0,1,1,0,1,1,1,nnRegressor,logistic,None,19,None,None,constant,None,None,None,None,4,None,adam,None,0.8074611870639725,ok,167.12539957999252
21,1,1,1,1,1,1,0,0,1,1,0,1,1,1,nnRegressor,logistic,None,22,None,None,constant,None,None,None,None,3,None,adam,None,0.8077721107633384,ok,181.5607955821324
22,1,1,1,1,1,1,0,0,1,1,0,1,1,1,nnRegressor,logistic,None,25,None,None,constant,None,None,None,None,4,None,adam,None,0.8023155920435382,ok,194.52022950700484
23,1,1,1,1,1,1,0,0,1,1,0,1,1,1,nnRegressor,identity,None,22,None,None,constant,None,None,None,None,1,None,adam,None,0.7573296757450954,ok,196.48587307007983
24,1,1,1,1,1,1,0,0,1,1,0,1,1,1,nnRegressor,logistic,None,15,None,None,adaptive,None,None,None,None,4,None,lbfgs,None,0.7888224364682881,ok,199.80323105910793
25,1,1,1,1,1,1,0,0,1,1,0,1,1,1,nnRegressor,logistic,None,22,None,None,constant,None,None,None,None,3,None,sgd,None,0.7976392402464404,ok,211.4483663290739
26,1,1,1,1,1,1,0,0,1,1,0,1,1,1,nnRegressor,identity,None,26,None,None,invscaling,None,None,None,None,6,None,adam,None,0.7533059586679861,ok,212.9474073362071
27,1,1,1,1,1,1,0,0,1,1,0,1,1,1,nnRegressor,logistic,None,22,None,None,constant,None,None,None,None,5,None,adam,None,0.8132490282201094,ok,227.53462154814042
28,1,1,1,1,1,1,0,0,1,1,0,1,1,1,nnRegressor,tanh,None,15,None,None,constant,None,None,None,None,6,None,adam,None,0.8003689421330111,ok,248.77480765315704
29,1,1,1,1,1,1,0,0,1,1,0,1,1,1,nnRegressor,logistic,None,31,None,None,adaptive,None,None,None,None,5,None,sgd,None,0.8090220812907425,ok,258.0526058441028
30,1,1,1,1,1,1,0,0,1,1,0,1,1,1,nnRegressor,logistic,None,25,None,None,invscaling,None,None,None,None,5,None,lbfgs,None,0.7956510866481296,ok,260.95584074314684
31,1,1,1,1,1,1,0,0,1,1,0,1,1,1,nnRegressor,tanh,None,20,None,None,constant,None,None,None,None,7,None,adam,None,0.8037896694175535,ok,277.9686406510882
32,1,1,1,1,1,1,0,0,1,1,0,1,1,1,nnRegressor,logistic,None,27,None,None,invscaling,None,None,None,None,7,None,adam,None,0.806987865650568,ok,290.47582291904837
33,1,1,1,1,1,1,0,0,1,1,0,1,1,1,nnRegressor,identity,None,19,None,None,invscaling,None,None,None,None,5,None,sgd,None,0.7615318561646702,ok,298.65190219902433
34,0,0,1,1,0,1,0,0,1,1,0,1,1,1,randomForestRegressor,None,None,None,mse,None,None,96.0,sqrt,3.0,24.0,None,None,None,None,0.7493133825790368,ok,299.41519865510054
35,1,1,1,1,1,1,1,0,1,1,0,1,0,1,nnRegressor,logistic,None,29,None,None,adaptive,None,None,None,None,10,None,lbfgs,None,0.7866395864531642,ok,302.6226751401555
36,0,0,1,1,0,1,0,0,1,1,0,1,1,1,nnRegressor,logistic,None,23,None,None,constant,None,None,None,None,3,None,adam,None,0.7455217091737354,ok,316.07579548005015
37,1,1,1,1,1,0,0,1,1,1,0,1,0,1,randomForestRegressor,None,None,None,poisson,None,None,38.0,sqrt,6.0,17.0,None,None,None,None,0.5408411683529671,ok,319.14531322405674
38,0,1,1,1,1,1,0,0,1,0,0,1,1,0,nnRegressor,logistic,None,16,None,None,invscaling,None,None,None,None,6,None,adam,None,0.7503896660973277,ok,337.6943278349936
39,1,0,0,1,1,1,1,0,1,1,0,0,0,1,randomForestRegressor,None,None,None,mse,None,None,76.0,log2,9.0,31.0,None,None,None,None,0.7339903867002068,ok,338.58240073220804
40,0,1,1,0,0,0,0,0,1,0,0,1,1,0,nnRegressor,tanh,None,24,None,None,constant,None,None,None,None,1,None,adam,None,0.7429190986669119,ok,351.82165270717815
41,1,1,0,1,1,1,1,1,1,1,1,0,1,1,nnRegressor,identity,None,12,None,None,constant,None,None,None,None,8,None,lbfgs,None,0.7561829710864957,ok,352.1000022001099
42,1,0,1,1,0,1,0,0,1,0,0,1,0,1,randomForestRegressor,None,None,None,poisson,None,None,31.0,log2,12.0,16.0,None,None,None,None,0.5379997966625614,ok,353.9816470441874
43,0,1,1,0,1,0,1,1,1,1,1,1,1,0,nnRegressor,relu,None,20,None,None,adaptive,None,None,None,None,2,None,adam,None,0.7493062711819876,ok,368.734795773169
44,1,1,0,1,1,1,0,0,0,1,0,0,1,1,kneighborsRegressor,None,brute,None,None,12.0,None,None,None,None,None,None,4.0,None,distance,0.737212922593105,ok,368.8340678131208
45,1,0,1,1,0,1,0,0,1,0,1,1,0,1,nnRegressor,logistic,None,29,None,None,invscaling,None,None,None,None,4,None,sgd,None,0.07659908984296082,ok,378.18152643204667
46,0,1,0,0,1,0,1,1,0,1,0,0,1,0,randomForestRegressor,None,None,None,mse,None,None,27.0,sqrt,2.0,2.0,None,None,None,None,0.7154292133483954,ok,379.0984390662052
47,1,1,1,1,1,1,0,0,1,1,0,1,1,1,kneighborsRegressor,None,auto,None,None,39.0,None,None,None,None,None,None,10.0,None,distance,0.7614216999769045,ok,379.1714358769823
48,1,0,1,0,0,1,0,0,0,0,1,1,0,0,nnRegressor,logistic,None,18,None,None,constant,None,None,None,None,5,None,adam,None,0.6789097546384046,ok,395.8054616341833
49,0,1,0,1,1,0,0,1,1,1,0,0,1,1,nnRegressor,relu,None,11,None,None,invscaling,None,None,None,None,9,None,adam,None,0.7446811796958821,ok,422.1095598600805
50,1,1,1,1,1,1,1,0,1,1,0,1,1,1,kneighborsRegressor,None,auto,None,None,14.0,None,None,None,None,None,None,8.0,None,uniform,0.7522980844563459,ok,422.18970087519847
51,1,1,1,0,1,1,0,0,0,0,1,1,1,1,randomForestRegressor,None,None,None,poisson,None,None,99.0,auto,15.0,36.0,None,None,None,None,0.7081208193163203,ok,432.066044109175
