activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,22,mse,1,1,1,1,1,1,1,1,28,constant,80,auto,20,26,nnRegressor,2,2,adam,distance,0.9203159286323653,1311.1919231140055
relu,auto,22,mse,1,1,1,1,1,1,1,1,28,constant,32,auto,18,27,nnRegressor,2,2,adam,distance,0.9197114998489588,1311.1919595641084
relu,auto,20,mse,1,1,1,1,1,1,1,1,25,constant,66,auto,20,21,nnRegressor,2,3,adam,distance,0.9130280196031432,1311.1919959629886
relu,auto,20,mse,1,1,1,1,1,1,1,1,25,constant,53,auto,18,31,nnRegressor,2,2,adam,distance,0.8714901720068168,1311.1920324629173
relu,auto,20,mse,1,1,1,1,1,1,1,1,20,constant,38,auto,19,25,nnRegressor,2,2,adam,distance,0.9197114998489588,1311.192068722099
relu,auto,21,mse,1,1,1,1,1,1,1,1,25,constant,14,auto,17,28,nnRegressor,1,3,adam,distance,0.9150310543061272,1311.192105252063
relu,auto,19,mse,1,1,1,1,1,1,1,1,23,constant,56,auto,13,17,nnRegressor,2,4,adam,distance,0.9088926529202092,1465.9916886489373
relu,auto,24,mse,1,1,1,1,1,1,1,1,22,constant,32,auto,18,23,nnRegressor,2,3,adam,distance,0.9210514711589156,1465.991747227963
relu,auto,18,mse,1,1,1,1,1,1,1,1,25,constant,36,auto,16,27,nnRegressor,2,3,adam,distance,0.909904737748889,1465.991786557017
relu,auto,23,mse,1,1,1,1,1,1,1,1,29,constant,79,auto,19,24,nnRegressor,2,6,adam,distance,0.8691041885174565,1465.9918245871086
relu,auto,23,mse,1,1,1,1,1,1,1,1,30,constant,31,auto,20,29,nnRegressor,1,3,adam,distance,0.9210514711589156,1465.9918621359393
relu,auto,19,mse,1,1,1,1,1,1,1,1,28,constant,56,auto,16,33,nnRegressor,2,5,adam,distance,0.8691041885174565,1465.9918994859327
relu,auto,23,mse,1,1,1,1,1,1,1,1,31,constant,28,auto,19,26,nnRegressor,3,4,adam,distance,0.9142399863696167,1465.9919369351119
relu,auto,18,mse,1,1,1,1,1,1,1,1,19,constant,19,auto,14,27,nnRegressor,5,5,adam,distance,0.9096570773365513,1465.9919741749763
relu,auto,20,mse,1,1,1,1,1,1,1,1,28,constant,33,auto,17,25,nnRegressor,2,2,adam,distance,0.9098045547444912,1465.9920116339345
relu,auto,21,mse,1,1,1,1,1,1,1,1,29,constant,76,auto,19,26,nnRegressor,2,4,adam,distance,0.914050938532546,1465.9920489140786
relu,auto,23,mse,1,1,1,1,1,1,1,1,30,constant,17,auto,20,27,nnRegressor,2,2,adam,distance,0.9203159286323653,1465.9920859730337
relu,auto,24,mse,1,1,1,1,1,1,1,1,30,constant,18,auto,14,25,nnRegressor,2,4,adam,distance,0.9130280196031432,1465.9921233030036
relu,auto,20,mse,1,1,1,1,1,1,1,1,27,constant,28,auto,17,26,nnRegressor,2,4,adam,distance,0.909904737748889,1465.9921608720906
relu,auto,19,mse,1,1,1,1,1,1,1,1,23,constant,42,auto,18,29,nnRegressor,2,6,adam,distance,0.9130280196031432,1465.9921985319816
relu,auto,24,mse,1,1,1,1,1,1,1,1,29,constant,76,auto,19,25,nnRegressor,2,3,adam,distance,0.9222713697097623,1465.9922458110377
relu,auto,23,mse,1,1,1,1,1,1,1,1,28,constant,32,auto,18,27,nnRegressor,2,3,adam,distance,0.9222713697097623,1465.992282829946
relu,auto,23,mse,1,1,1,1,1,1,1,1,25,constant,62,auto,20,25,nnRegressor,2,3,adam,distance,0.9197114998489588,1465.992324969964
relu,auto,22,mse,1,1,1,1,1,1,1,1,29,constant,49,auto,18,32,nnRegressor,2,1,adam,distance,0.9197114998489588,1465.9923620091286
relu,auto,22,mse,1,1,1,1,1,1,1,1,24,constant,35,auto,16,27,nnRegressor,2,3,adam,distance,0.9197114998489588,1465.9923992389813
relu,auto,19,mse,1,1,1,1,1,1,1,1,27,constant,18,auto,17,27,nnRegressor,3,3,adam,distance,0.9098720957742557,1465.9924361880403
