activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,ball_tree,10,entropy,1,1,1,1,1,0,1,1,1,1,0,0,9,adaptive,72,sqrt,19,15,nnClassifier,10,6,sgd,uniform,0.6056166056166056
logistic,ball_tree,15,entropy,0,1,0,1,1,1,0,0,1,0,0,1,35,invscaling,44,log2,6,2,randomForestClassifier,2,7,lbfgs,uniform,0.8986568986568987
identity,ball_tree,12,gini,1,0,0,1,0,1,1,1,1,0,0,1,4,adaptive,76,auto,15,12,nnClassifier,2,7,sgd,uniform,0.5958485958485958
tanh,ball_tree,27,gini,1,1,1,1,0,0,0,1,0,0,0,0,5,invscaling,65,log2,13,24,nnClassifier,4,5,sgd,distance,0.6031746031746031
logistic,ball_tree,10,gini,1,1,0,0,0,0,0,1,1,0,1,0,20,constant,10,sqrt,4,23,randomForestClassifier,4,2,adam,uniform,0.8473748473748474
tanh,kd_tree,26,gini,0,1,0,0,0,1,1,1,0,1,0,1,33,constant,13,log2,7,40,kneighborsClassifier,10,4,sgd,distance,0.7838827838827839
tanh,ball_tree,14,entropy,0,1,1,1,0,1,0,0,0,1,1,0,11,constant,51,sqrt,9,36,nnClassifier,10,10,adam,distance,0.6178266178266179
tanh,kd_tree,31,entropy,0,0,0,0,0,0,0,0,0,0,0,0,32,adaptive,96,sqrt,15,20,randomForestClassifier,1,1,lbfgs,uniform,0
identity,brute,31,gini,1,1,0,1,1,0,1,0,1,1,0,1,7,constant,97,log2,6,27,kneighborsClassifier,5,6,adam,uniform,0.7777777777777778
relu,kd_tree,21,entropy,0,0,1,0,1,1,0,1,1,0,1,0,21,invscaling,100,log2,2,35,nnClassifier,9,6,lbfgs,uniform,0.6031746031746031
logistic,brute,24,entropy,1,1,1,1,0,1,1,1,1,0,1,0,39,invscaling,82,auto,5,18,kneighborsClassifier,9,7,lbfgs,uniform,0.7496947496947497
identity,kd_tree,13,gini,1,0,0,0,0,0,1,1,0,0,1,1,30,adaptive,72,log2,4,12,randomForestClassifier,6,4,adam,uniform,0.8620268620268621
tanh,brute,18,entropy,0,1,1,1,0,1,1,1,1,1,1,0,10,constant,12,sqrt,8,26,nnClassifier,2,4,sgd,distance,0.6105006105006106
identity,auto,32,entropy,0,0,1,1,0,0,0,1,0,0,1,1,29,invscaling,3,sqrt,19,13,nnClassifier,3,6,sgd,uniform,0.5982905982905983
relu,brute,15,gini,1,1,1,0,1,0,0,1,0,0,1,0,21,constant,100,log2,11,23,kneighborsClassifier,2,6,adam,distance,0.8241758241758241
relu,brute,24,gini,1,0,0,1,0,0,0,1,0,1,1,1,4,invscaling,42,log2,6,15,randomForestClassifier,1,10,lbfgs,distance,0.8656898656898657
logistic,auto,31,entropy,1,0,1,1,0,0,0,1,0,0,1,0,35,adaptive,82,auto,20,19,randomForestClassifier,10,1,sgd,uniform,0.8791208791208791
identity,auto,27,gini,0,1,0,0,0,0,0,0,0,1,1,1,24,constant,66,auto,6,6,nnClassifier,3,7,lbfgs,uniform,0.6764346764346765
tanh,ball_tree,10,entropy,0,1,0,1,0,1,0,0,1,0,1,0,26,invscaling,73,auto,13,29,randomForestClassifier,1,7,adam,uniform,0.894993894993895
logistic,auto,32,entropy,1,1,1,1,1,0,0,1,1,0,0,1,11,constant,53,log2,7,16,nnClassifier,10,8,sgd,uniform,0.6153846153846154
relu,ball_tree,11,gini,0,0,1,0,0,1,1,1,0,1,1,1,11,constant,44,auto,12,7,kneighborsClassifier,2,4,adam,distance,0.78998778998779
tanh,brute,30,entropy,0,1,0,0,1,1,0,1,1,0,1,1,14,constant,73,sqrt,18,15,randomForestClassifier,7,9,adam,uniform,0.9010989010989011
tanh,kd_tree,22,entropy,0,1,1,1,0,0,1,0,0,1,0,0,3,adaptive,31,sqrt,11,2,kneighborsClassifier,7,9,lbfgs,uniform,0.8583638583638583
identity,ball_tree,23,entropy,0,0,1,0,0,0,0,0,1,1,1,0,4,adaptive,63,log2,16,2,kneighborsClassifier,7,2,adam,distance,0.7545787545787546
identity,auto,26,gini,1,0,0,0,0,1,1,0,1,1,1,1,38,adaptive,49,auto,16,37,nnClassifier,2,7,adam,uniform,0.6141636141636142
logistic,ball_tree,32,entropy,0,1,1,0,1,0,1,0,0,1,1,1,27,constant,27,log2,13,18,nnClassifier,9,8,lbfgs,uniform,0.6117216117216118
tanh,kd_tree,15,entropy,1,1,0,1,1,0,1,0,1,0,1,1,23,adaptive,20,sqrt,19,27,randomForestClassifier,2,9,adam,uniform,0.9023199023199023
