activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,21,mse,1,1,1,1,1,1,12,constant,72,auto,4,4,nnRegressor,6,7,adam,distance,-0.49803955116394083,392.13729518512264
relu,auto,15,mse,1,1,1,1,1,1,30,constant,80,auto,6,17,nnRegressor,9,4,adam,distance,-2.1132425302616933,392.13732976512983
relu,auto,26,mse,1,1,1,1,1,1,12,constant,56,auto,5,8,nnRegressor,5,6,adam,distance,-10.269075226691152,392.1373642149847
relu,auto,16,mse,1,1,1,1,1,1,13,constant,26,auto,7,9,nnRegressor,5,4,adam,distance,-14.75996608230516,392.1373985039536
relu,auto,22,mse,1,1,1,1,1,1,26,constant,72,auto,4,4,nnRegressor,5,3,adam,distance,-22.442039169761266,392.1374327039812
relu,auto,21,mse,1,1,1,1,1,1,24,constant,37,auto,7,22,nnRegressor,6,3,adam,distance,-0.49803955116394083,478.2312372880988
relu,auto,27,mse,1,1,1,1,1,1,15,constant,39,auto,6,9,nnRegressor,5,6,adam,distance,-25.94770728568666,478.2312929779291
relu,auto,24,mse,1,1,1,1,1,1,6,constant,63,auto,15,7,nnRegressor,6,4,adam,distance,-8.505611759112934,478.23132924712263
relu,auto,18,mse,1,1,1,1,1,1,6,constant,61,auto,15,18,nnRegressor,6,4,adam,distance,0.24040401476500195,478.2313646171242
relu,auto,14,mse,1,1,1,1,1,1,14,constant,21,auto,7,11,nnRegressor,5,5,adam,distance,-0.015387754018412414,478.231399507029
relu,auto,18,mse,1,1,1,1,1,1,31,constant,44,auto,4,12,nnRegressor,4,4,adam,distance,-5.221105013414338,478.231433986919
relu,auto,20,mse,1,1,1,1,1,1,24,constant,58,auto,7,5,nnRegressor,6,6,adam,distance,-3.8603233876180507,478.2314681359567
relu,auto,23,mse,1,1,1,1,1,1,20,constant,29,auto,4,3,nnRegressor,7,5,adam,distance,-8.757819845895993,478.2315020561218
relu,auto,19,mse,1,1,1,1,1,1,8,constant,71,auto,3,5,nnRegressor,6,5,adam,distance,-13.862921206811999,478.23153615603223
relu,auto,17,mse,1,1,1,1,1,1,17,constant,80,auto,4,4,nnRegressor,5,5,adam,distance,0.4038918504056397,478.23157050507143
relu,auto,20,mse,1,1,1,1,1,1,26,constant,81,auto,4,4,nnRegressor,7,5,adam,distance,-0.9771273194627781,478.2316045749467
relu,auto,24,mse,1,1,1,1,1,1,26,constant,53,auto,8,6,nnRegressor,6,7,adam,distance,-16.56288281085162,478.23163849511184
relu,auto,13,mse,1,1,1,1,1,1,24,constant,30,auto,3,4,nnRegressor,6,5,adam,distance,0.4038918504056397,478.2316726539284
relu,auto,20,mse,1,1,1,1,1,1,5,constant,71,auto,12,22,nnRegressor,7,3,adam,distance,-5.221105013414338,478.23170656408183
relu,auto,20,mse,1,1,1,1,1,1,13,constant,55,auto,4,16,nnRegressor,6,8,adam,distance,0.15339590721378782,478.23174054408446
relu,auto,20,mse,1,1,1,1,1,1,11,constant,70,auto,4,4,nnRegressor,6,6,adam,distance,-0.6081126321975445,478.23177471291274
relu,auto,13,mse,1,1,1,1,1,1,26,constant,84,auto,10,13,nnRegressor,5,6,adam,distance,-1.1301783710038844,478.2318088731263
relu,auto,28,mse,1,1,1,1,1,1,12,constant,60,auto,6,10,nnRegressor,4,2,adam,distance,-20.307966071198997,478.2318428531289
relu,auto,17,mse,1,1,1,1,1,1,13,constant,30,auto,5,5,nnRegressor,7,6,adam,distance,-7.895147369839902,478.23189387191087
relu,auto,18,mse,1,1,1,1,1,1,22,constant,70,auto,4,3,nnRegressor,6,6,adam,distance,-16.56288281085162,478.2319278421346
